CONDICIÓN DE PRECIOS,,Cod. Producto,,descripcion,,,presentacion,Unidades ,,Precio S/IVA,,Descuento,,Total
,,20015888,,HUMIRA AC x 2 (20mg),,,"2 JERINGAS PRELL. X 0,2 ml",,,,,,,  -   
,,20005289,,HUMIRA AC x 2 (40mg),,,"2 LAPICERAS PRELL. X 0,4 ml",,,,,,,  -   
,,20021980,,HUMIRA AC x 1 (80 mg),,,"1 LAPICERA PRELL. X 0,8 ml",,,,,,,  -   
18% DESCUENTO -ISJ,,20062091,,RINVOQ 15mg,,,15 MG x 30 COMP REC DE LIB. PROLONGADA,1,,"  2.345.085,38 ",,18%,,"  1.987.360,49 "
,,20069005,,RINVOQ 30mg,,,30 MG x 30 COMP REC DE LIB. PROLONGADA,,,,,,,  -   
,,20078725,,RINVOQ 45mg,,,45 MG x 30 COMP REC DE LIB. PROLONGADA,,,,,,,  -   
,,20069017,,SKYRIZI 150mg,,,1 LAPICERA PRELLENADA por 1 ML (150 mg),,,,,,,  -   
,,20079636,,SKYRIZI 360mg,,,2.4ML OBI AR FP,,,,,,,  -   
,,20079635,,SKYRIZI 600 mg,,,10.0 mL VIAL AR FP,,,,,,,  -   
,,20011756,,MAVIRET,,,100 MG/40 MG x 84 COMP REC,,,,,,,  -   
,,20019068,,VENCLEXTA KIT INICIO,,,KIT DE INICIO X 1 - PACK 4X7 DIAS ,,,,,,,  -   
,,20019067,,VENCLEXTA 100mg,,,100 MG X 120 COMP.,,,,,,,
,,20060375,,VENCLEXTA 10mg,,,"10MG WALLET, TWO 10MG TABS X14",,,,,,,  -   
,,20060376,,VENCLEXTA 50mg,,,"50MG WALLET, ONE 50MG TAB X7",,,,,,,  -   
,,20012619,,SEVORANE,,,250 ML,,,,,,,  -   
,,20012621,,SEVORANE QUICK FILL,,,250 ML,,,,,,,  -   
,,20027971,,ZEMPLAR VIAL,,,5 VIALES,,,,,,,  -   
,,20059449,,ZEMPLAR 2 MCG,,,30 CAPSULAS,,,,,,,  -   
,,91223AR,,BOTOX,,,Vial 100 U,,,,,,,  -   
,,93251AR,,BOTOX,,,Vial 200 U,,,,,,,  -   
,,93348AR,,OZURDEX,,,0.7 MG C/1,,,,,,,  -   
