DESCRIPCIÓN,,,,,
21631 PAA'AL DE5CAATABLE RECTO BASICO EXTRA GRANDE XSOU •COMOD N,COMODIN,"272  $  24.596,28",,"$     22.899,99","$        21.203,69"
55504 PAA'AL BEBE COTTON EXTRA GRANDE X28 UN.{COD.21428) • DUFFV,DUFFV,"115  $   7.908,88",,"$      7.117,99","$            6.590,73"
SSSOS PAA'AL BEBE COTTON E)(TAA GAANDE X44 UN.{COD.21444} • DUFl'Y,DUFFV,"8 $ 12.648,34",,"$    11.3A3,SO","$       10.540,28"
55502 PAA'AL BEBE COTTON GRANDE X 32 UN.(COD.21332) • DUFFV,DUFFV,"172 $   7.908,88",,"$      7.117,99","$            6.590,73"
55503 PAA'AL BEBE COTTON GRANDE X48 UN.{COD.21348) • OUFFV,DUFFV,"17  $  12.418,37",,"$     11.176,53","$        10.348,64"
555503 PAA'AL BEBE COTTON MX 36 UN. (COD.21236) • DUFFV,DUFFV,"107 $   7.908,88",,"$      7.117,99","$            6.590,73"
55501PAA'AL BEBE COTTON MX 38 UN. (COD.21238) • DUFFV,DUFFV,"133 $   7.908,88",,"$      7.117,99","$          6.590,73"
55500 PAA'AL BEBE COTTON PX44 UN.(COD.21144) • DUFFV,DUFFV,"91 $   7.908,88",,"$      7.117,99","$            6.590,73"
55507 PAA'AL BEBE EXTRA XXG X26 UN. DUFFV (21526),DUFFV,"157 $   7.908,88",,"$      7.117,99","$          6.590,73"
55506 PAA'AL DE5CAATABLE RECTO CLASICO EXTRA EXTRA GRANDE X26 UN.DUFFV,DUFFV,"62  $   7.908,88",,"$      7.117,99","$            6.590,73"
55477 PAA'ALE5 P/NIÁ'O G X 72U• PAMPER5 BABVDRV,PAMPERS,"309 $ 25.463,07",,"$    22.916,76","$       21.219,22"
55478 PAA'ALE5 P/NIÁ'O MX 72U • PAMPERS BABYDRV,PAMPERS,"313 $ 25.463,07",,"$     22.916,76","$         21.219,22"
55508 PAA'ALADULTO PREMIUN G/XG X 8 UN {COD.32308) • PROM15E,PROM15E,"35  $  10.744,94",,"$     10.003,91","$          9.262,88"
