"PUBLICADO/
NO PUBLICADO",U N,LINEA,EAN,COD. DISPRO,COD. ELEA,COD. CID LATINA,REGISTRO ALFABETA,CODIGO KAIROS,PAMI,CERTIF NRO,descripcion,presentacion
PUBLICADO,BIO,Biotecnología,7796285049928,14954,24992,2000601,27613,,,48650,3TC + AZT ELEA ,Env. x 60 comprimidos
PUBLICADO,BIO,Biotecnología,7796285050658,17100,25065,2003701,32410,,,49022,ABACAVIR ELEA,Env. x 60 comprimidos recub.
PUBLICADO,BIO,Biotecnología,7796285283551,19341,28355,,56653,,,58983,ALCAF ,60mg F. Amp. Polvo x 1
PUBLICADO,BIO,Biotecnología,7796285283520,19869,28352,,60305,,,,BENJOR,50 mg x comp x 30
PUBLICADO,BIO,Biotecnología,7796285277833,17779,27783,,53125,,,57934,BEVAX 100 MG,Env x 1 vial de 4 ml.
PUBLICADO,BIO,Biotecnología,7796285277840,17780,27784,,53126,,,57934,BEVAX 400 MG,Env x 1 vial de 16 ml.
PUBLICADO,BIO,Biotecnología,7798122690010,18984,11001,2223601,15334,,,43271,BIOVAC HB 10 MCG,"Inyectable Fco ampolla x 0,5ml"
PUBLICADO,BIO,Biotecnología,7798122690027,18985,11002,2223602,15335,,,43271,BIOVAC HB 20 MCG,Inyectable. Fco ampolla x 1 ml.
PUBLICADO,BIO,Biotecnología,7796285283490,19795,28349,,58517,,,59037,BROCABE,140mx x 120 cápsulas
PUBLICADO,BIO,Biotecnología,7796285287108,19794,28710,,58516,,,59037,BROCABE,140mx x 90 cápsulas
PUBLICADO,BIO,Biotecnología,7796285291679,21966,29167,,,,,,BROCABE,BROCABE 140 MG COMP X30
PUBLICADO,BIO,Biotecnología,7796285291686,21967,29168,,,,,,BROCABE,BROCABE 280 MG COMP X30
PUBLICADO,BIO,Biotecnología,7796285291693,21968,29169,,,,,,BROCABE,BROCABE 420 MG COMP X30
PUBLICADO,BIO,Biotecnología,7796285291709,21969,29170,,,,,,BROCABE,BROCABE 560 MG COMP X30
PUBLICADO,BIO,Biotecnología,7796285291952,21949,29195,,,,,,CATIZ,CATIZ 150MG COMP X 60
PUBLICADO,BIO,Biotecnología,7796285291969,21868,29196,,,,,,CATIZ,CATIZ 150MG COMP X120
PUBLICADO,BIO,Biotecnología,7796285291945,21867,29194,,,,,,CATIZ,CATIZ 50MG COMP X 60
PUBLICADO,BIO,Biotecnología,7798122690072,18986,11006,,39635,,,52991,CIMAHER SOL. INY,Envase x4 fcos amp de 50mg c/u
PUBLICADO,BIO,Biotecnología,7796285295042,21883,29504,,61910,,,,CLONOMAB, 70 MG/ML
PUBLICADO,BIO,Biotecnología,7796285279929,18993,27992,9005733,55365,,,58516,DAMARIS ,Comprimidos rec. x 30
PUBLICADO,BIO,Biotecnología,7796285289157,21470,28915,,60882,,,,DAFEX,LIOF 440MG -50ML
PUBLICADO,BIO,Biotecnología,7796285286163,20591,28616,,60808,,,,DRIVELEA,30 comprimidos
PUBLICADO,BIO,Biotecnología,7796285286118,20174,28611,,59622,,,,ELEFIX,1 vial x 2 ml
PUBLICADO,BIO,Biotecnología,7796285295325,22037,29532,,,,,,ELEINA,200MG X14 COMP
PUBLICADO,BIO,Biotecnología,7796285295332,22038,29533,,,,,,ELEINA,300MG X14 COMP
PUBLICADO,BIO,Biotecnología,7796285290887,21666,29088,,61539,,,,EXOBOZAN ,EXOBOZAN 20MG X 30 COMP
PUBLICADO,BIO,Biotecnología,7796285291075,21667,29107,,61540,,,,EXOBOZAN ,EXOBOZAN 40MG X 30 COMP
PUBLICADO,BIO,Biotecnología,7796285290870,21668,29087,,61541,,,,EXOBOZAN ,EXOBOZAN 60MG X 30 COMP
PUBLICADO,BIO,Biotecnología,7796285279899,18071,27989,,53408,,,58203,FOZVIR 400 MG.,Envase x 28 comprimidos rec.
PUBLICADO,BIO,Biotecnología,7796285289225,21159,28922,,61035,,,,FLUNITRAM,FLUNITRAM X 14 MG COMP REC
PUBLICADO,BIO,Biotecnología,7796285287221,21106,28722,,60493,,,,GESNAT,25 MG COMP X 30
PUBLICADO,BIO,Biotecnología,7796285287238,21107,28723,,60494,,,,GESNAT,50 mg comp x 30
PUBLICADO,BIO,Biotecnología,7796285286187,21149,28618,,60251,,,,GINEVA,10 MG COMP X 30
PUBLICADO,BIO,Biotecnología,7796285287535,21148,28753,,60264,,,,GINEVA,5 MG COMP X 30
PUBLICADO,BIO,Biotecnología,7798122690119,18987,11007,3741501,45446,,,54914,HEBERPROT-P,"Env x 6 ampollas x 0,075 mg."
PUBLICADO,BIO,Biotecnología,7797416016123,21634,28914,,61260,,,,IXOMIDA,60MG COMP REC X120
PUBLICADO,BIO,Biotecnología,7796285287245,21089,28724,,61341,,,,ICELEA,200/25 MG COMP X 30
PUBLICADO,BIO,Biotecnología,7796285285227,19420,28522,,57276,,,657697-1,INCOX ,1 MG COMP X 56
PUBLICADO,BIO,Biotecnología,7796285285302,19421,28530,,57277,,,657700-1,INCOX ,5 MG COMP X 56
PUBLICADO,BIO,Biotecnología,7796285295035,22015,29503,,,,,,IDACIO,IDACIO 40 MG
PUBLICADO,BIO,Biotecnología,7796285047948,1750,24794,,0,,,48032,LAMILEA,Env. x 60 comprimidos
PUBLICADO,BIO,Biotecnología,7796285290443,21164,29044,,60307,,,,LEVAL,20 MG X 30 COMP
PUBLICADO,BIO,Biotecnología,7796285290450,21165,29045,,60306,,,,LEVAL,20 MG X 60 COMP
PUBLICADO,BIO,Biotecnología,7796285254636,19391,25463,9007899,56744,,,58849,LISOTYR,Comprimidos x 30
PUBLICADO,BIO,Biotecnología,7796285254643,19153,25464,,55966,,,58849,LISOTYR,Comprimidos x 60
PUBLICADO,BIO,Biotecnología,7796285290917,21870,29091,,,,,,NOVOTINIB,NOVOTINIB 50MG X120 CAPS
PUBLICADO,BIO,Biotecnología,7796285290924,21871,29092,,,,,,NOVOTINIB,NOVOTINIB 150MG X120 CAPS
PUBLICADO,BIO,Biotecnología,7796285290931,21873,29093,,,,,,NOVOTINIB,NOVOTINIB 200MG X120 CAPS
