descripcion,presentacion,CODIGO,Precio Final,Precio Comp,LÃ­nea,PresentaciÃ³n,Envase,Principio Activo,PresentaciÃ³nedwerwer,CÃ³digo,EAN 13,Producto,Unnamed: 5,DROGUERIA,DROGUERIA.1,SUGERIDO,Cert.,PresentaciÃ³ncaca,codigo,descripcionhgdf,Unnamed: 2,descripcion_presentacion
HUMIRA AC x 2 (20mg),"2 JERINGAS PRELL. X 0,2 ml",,,,,,,,,,,,,,,,,,,,,"HUMIRA AC x 2 (20mg) 2 JERINGAS PRELL. X 0,2 ml"
HUMIRA AC x 2 (40mg),"2 LAPICERAS PRELL. X 0,4 ml",,,,,,,,,,,,,,,,,,,,,"HUMIRA AC x 2 (40mg) 2 LAPICERAS PRELL. X 0,4 ml"
HUMIRA AC x 1 (80 mg),"1 LAPICERA PRELL. X 0,8 ml",,,,,,,,,,,,,,,,,,,,,"HUMIRA AC x 1 (80 mg) 1 LAPICERA PRELL. X 0,8 ml"
RINVOQ 15mg,15 MG x 30 COMP REC DE LIB. PROLONGADA,,,,,,,,,,,,,,,,,,,,,RINVOQ 15mg 15 MG x 30 COMP REC DE LIB. PROLONGADA
RINVOQ 30mg,30 MG x 30 COMP REC DE LIB. PROLONGADA,,,,,,,,,,,,,,,,,,,,,RINVOQ 30mg 30 MG x 30 COMP REC DE LIB. PROLONGADA
RINVOQ 45mg,45 MG x 28 COMP REC DE LIB. PROLONGADA,,,,,,,,,,,,,,,,,,,,,RINVOQ 45mg 45 MG x 28 COMP REC DE LIB. PROLONGADA
SKYRIZI 150mg,1 LAPICERA PRELLENADA por 1 ML (150 mg),,,,,,,,,,,,,,,,,,,,,SKYRIZI 150mg 1 LAPICERA PRELLENADA por 1 ML (150 mg)
SKYRIZI 360mg,2.4ML OBI AR FP,,,,,,,,,,,,,,,,,,,,,SKYRIZI 360mg 2.4ML OBI AR FP
SKYRIZI 600 mg,10.0 ML VIAL AR FP,,,,,,,,,,,,,,,,,,,,,SKYRIZI 600 mg 10.0 ML VIAL AR FP
MAVIRET,100 MG/40 MG x 84 COMP REC,,,,,,,,,,,,,,,,,,,,,MAVIRET 100 MG/40 MG x 84 COMP REC
VENCLEXTA KIT INICIO,KIT DE INICIO X 1 - PACK 4X7 DIAS,,,,,,,,,,,,,,,,,,,,,VENCLEXTA KIT INICIO KIT DE INICIO X 1 - PACK 4X7 DIAS
VENCLEXTA 100mg,100 MG X 120 COMP.,,,,,,,,,,,,,,,,,,,,,VENCLEXTA 100mg 100 MG X 120 COMP.
VENCLEXTA 10mg,"10MG WALLET, TWO 10MG TABS X14",,,,,,,,,,,,,,,,,,,,,"VENCLEXTA 10mg 10MG WALLET, TWO 10MG TABS X14"
VENCLEXTA 50mg,"50MG WALLET, ONE 50MG TAB X7",,,,,,,,,,,,,,,,,,,,,"VENCLEXTA 50mg 50MG WALLET, ONE 50MG TAB X7"
EPKINLY VIAL 60mg,60MG / ML AR,,,,,,,,,,,,,,,,,,,,,EPKINLY VIAL 60mg 60MG / ML AR
EPKINLY VIAL 5mg,5MG / ML AR,,,,,,,,,,,,,,,,,,,,,EPKINLY VIAL 5mg 5MG / ML AR
SEVORANE,250 ML,,,,,,,,,,,,,,,,,,,,,SEVORANE 250 ML
SEVORANE QUICK FILL,250 ML,,,,,,,,,,,,,,,,,,,,,SEVORANE QUICK FILL 250 ML
ZEMPLAR VIAL,5 VIALES,,,,,,,,,,,,,,,,,,,,,ZEMPLAR VIAL 5 VIALES
ZEMPLAR 2 MCG,30 CAPSULAS,,,,,,,,,,,,,,,,,,,,,ZEMPLAR 2 MCG 30 CAPSULAS
BOTOX,VIAL 100 U,,,,,,,,,,,,,,,,,,,,,BOTOX VIAL 100 U
BOTOX,VIAL 200 U,,,,,,,,,,,,,,,,,,,,,BOTOX VIAL 200 U
OZURDEX,0.7 MG C/1,,,,,,,,,,,,,,,,,,,,,OZURDEX 0.7 MG C/1
ACENOCOUMAROL,4 mg x 1000 comp,TA100602,"$189.558,77","$189,559",,,,,,,,,,,,,,,,,,ACENOCOUMAROL 4 mg x 1000 comp
ALPRAZOLAM (ROSPAZ),"0,5 mg x 1500 comp",TA102103,"$130.849,58","$87,233",,,,,,,,,,,,,,,,,,"ALPRAZOLAM (ROSPAZ) 0,5 mg x 1500 comp"
ALPRAZOLAM (ROSPAZ),1 mg x 1500 comp,TA102203,"$151.133,63","$100,756",,,,,,,,,,,,,,,,,,ALPRAZOLAM (ROSPAZ) 1 mg x 1500 comp
ALPRAZOLAM (ROSPAZ),2 mg x 1500 comp,TA102303,"$158.554,98","$105,703",,,,,,,,,,,,,,,,,,ALPRAZOLAM (ROSPAZ) 2 mg x 1500 comp
AMITRIPTILINA (AMIPTRIL),25 mg x 1000 comp,TA103202,"$114.116,58","$114,117",,,,,,,,,,,,,,,,,,AMITRIPTILINA (AMIPTRIL) 25 mg x 1000 comp
AMITRIPTILINA (AMIPTRIL),75 mg x 500 comp,TA103300,"$77.956,73","$155,913",,,,,,,,,,,,,,,,,,AMITRIPTILINA (AMIPTRIL) 75 mg x 500 comp
AMLODIPINA,5 mg x 1000 comp,TA102704,"$82.567,08","$82,567",,,,,,,,,,,,,,,,,,AMLODIPINA 5 mg x 1000 comp
AMLODIPINA,10 mg x 1000 comp,TA102804,"$92.886,34","$92,886",,,,,,,,,,,,,,,,,,AMLODIPINA 10 mg x 1000 comp
ARIPPIPRAZOL (APECUR),5 mg  X 900 Comp,TA108100,"$126.818,08","$140,909",,,,,,,,,,,,,,,,,,ARIPPIPRAZOL (APECUR) 5 mg  X 900 Comp
ARIPPIPRAZOL (APECUR),10 mg X 900 Comp,TA108200,"$211.157,50","$234,619",,,,,,,,,,,,,,,,,,ARIPPIPRAZOL (APECUR) 10 mg X 900 Comp
ARIPPIPRAZOL (APECUR),15 mg X 900 Comp,TA108300,"$247.398,12","$274,887",,,,,,,,,,,,,,,,,,ARIPPIPRAZOL (APECUR) 15 mg X 900 Comp
ATORVASTATINA (ATORVAX),10 mg x 1000 comp,TA1010500,"$99.090,34","$99,090",,,,,,,,,,,,,,,,,,ATORVASTATINA (ATORVAX) 10 mg x 1000 comp
ATORVASTATINA (ATORVAX),20 mg x 1000 comp,TA1010600,"$133.960,84","$133,961",,,,,,,,,,,,,,,,,,ATORVASTATINA (ATORVAX) 20 mg x 1000 comp
BIPERIDENO,2 mg x 1000 comp,TA100203,"$88.299,98","$88,300",,,,,,,,,,,,,,,,,,BIPERIDENO 2 mg x 1000 comp
CARVEDILOL (CARVIPAW),"6,25 mg x1000 comp",TA104202,"$91.871,91","$91,872",,,,,,,,,,,,,,,,,,"CARVEDILOL (CARVIPAW) 6,25 mg x1000 comp"
CARVEDILOL (CARVIPAW),12.5 mg x1000 comp,TA104302,"$113.200,86","$113,201",,,,,,,,,,,,,,,,,,CARVEDILOL (CARVIPAW) 12.5 mg x1000 comp
CARVEDILOL (CARVIPAW),25 mg x1000 comp,TA104402,"$136.291,71","$136,292",,,,,,,,,,,,,,,,,,CARVEDILOL (CARVIPAW) 25 mg x1000 comp
CILOSTAZOL (CILOSPAW),50 mg x 500 comp,TA106000,"$70.431,77","$140,864",,,,,,,,,,,,,,,,,,CILOSTAZOL (CILOSPAW) 50 mg x 500 comp
CILOSTAZOL (CILOSPAW),100 mg x 1000 comp,TA106103,"$239.189,82","$239,190",,,,,,,,,,,,,,,,,,CILOSTAZOL (CILOSPAW) 100 mg x 1000 comp
CLONAZEPAM,"0,5 x 1500 comp",TA101704,"$101.524,28","$67,683",,,,,,,,,,,,,,,,,,"CLONAZEPAM 0,5 x 1500 comp"
CLONAZEPAM,1 mg x 1500 comp,TA101804,"$176.171,01","$117,447",,,,,,,,,,,,,,,,,,CLONAZEPAM 1 mg x 1500 comp
CLONAZEPAM,2 mg x 1500 comp,TA101905,"$130.980,81","$87,321",,,,,,,,,,,,,,,,,,CLONAZEPAM 2 mg x 1500 comp
CLOPIDOGREL,75 mg x 1000 comp,TA100703,"$240.925,25","$240,925",,,,,,,,,,,,,,,,,,CLOPIDOGREL 75 mg x 1000 comp
CLOZAPINA,100 x 1000 comp,TA100204,"$1.323.480,35","$1.323,480",,,,,,,,,,,,,,,,,,CLOZAPINA 100 x 1000 comp
CODEINA +PARACETAMOL,60 mg + 300 mg X 50,,"$47.871,49","$957,430",,,,,,,,,,,,,,,,,,CODEINA +PARACETAMOL 60 mg + 300 mg X 50
DICLOFENC TAURO POT,50 mg x 500 comp,TA106800,"$45.168,93","$90,338",,,,,,,,,,,,,,,,,,DICLOFENC TAURO POT 50 mg x 500 comp
DONEPECILO (LUPRACIL),5 mg x 30 comp,TA105501,"$7.936,06","$264,535",,,,,,,,,,,,,,,,,,DONEPECILO (LUPRACIL) 5 mg x 30 comp
DONEPECILO (LUPRACIL),10 mg x 30 comp,TA105601,"$9.308,39","$310,280",,,,,,,,,,,,,,,,,,DONEPECILO (LUPRACIL) 10 mg x 30 comp
ESCITALOPRAM (ROSTALOPRAM),10 mg x 900 comp,TA105100,"$164.325,88","$182,584",,,,,,,,,,,,,,,,,,ESCITALOPRAM (ROSTALOPRAM) 10 mg x 900 comp
ESCITALOPRAM (ROSTALOPRAM),20 mg x 900 comp,TA105200,"$220.897,45","$245,442",,,,,,,,,,,,,,,,,,ESCITALOPRAM (ROSTALOPRAM) 20 mg x 900 comp
FENOBARBITAL (FENROS),15 mg x 1000 comp,TA103402,"$219.955,15","$219,955",,,,,,,,,,,,,,,,,,FENOBARBITAL (FENROS) 15 mg x 1000 comp
FENOBARBITAL (FENROS),100 mg x 1000 comp,TA103503,"$284.483,90","$284,484",,,,,,,,,,,,,,,,,,FENOBARBITAL (FENROS) 100 mg x 1000 comp
FLUNITRAZEPAM (MIRPAW),1 mg x 500 comp,TA102900,"$127.893,91","$255,788",,,,,,,,,,,,,,,,,,FLUNITRAZEPAM (MIRPAW) 1 mg x 500 comp
IBUPROFENO ROSPAW,400 mg x 500 comp,TA105700,"$67.800,82","$135,602",,,,,,,,,,,,,,,,,,IBUPROFENO ROSPAW 400 mg x 500 comp
