descripcion,presentacion
HUMIRA AC x 2 (20mg),"2 JERINGAS PRELL. X 0,2 ml"
HUMIRA AC x 2 (40mg),"2 LAPICERAS PRELL. X 0,4 ml"
HUMIRA AC x 1 (80 mg),"1 LAPICERA PRELL. X 0,8 ml"
RINVOQ 15mg,15 MG x 30 COMP REC DE LIB. PROLONGADA
RINVOQ 30mg,30 MG x 30 COMP REC DE LIB. PROLONGADA
RINVOQ 45mg,45 MG x 28 COMP REC DE LIB. PROLONGADA
SKYRIZI 150mg,1 LAPICERA PRELLENADA por 1 ML (150 mg)
SKYRIZI 360mg,2.4ML OBI AR FP
SKYRIZI 600 mg,10.0 ML VIAL AR FP
MAVIRET,100 MG/40 MG x 84 COMP REC
VENCLEXTA KIT INICIO,KIT DE INICIO X 1 - PACK 4X7 DIAS
VENCLEXTA 100mg,100 MG X 120 COMP.
VENCLEXTA 10mg,"10MG WALLET, TWO 10MG TABS X14"
VENCLEXTA 50mg,"50MG WALLET, ONE 50MG TAB X7"
EPKINLY VIAL 60mg,60MG / ML AR
EPKINLY VIAL 5mg,5MG / ML AR
SEVORANE,250 ML
SEVORANE QUICK FILL,250 ML
ZEMPLAR VIAL,5 VIALES
ZEMPLAR 2 MCG,30 CAPSULAS
BOTOX,VIAL 100 U
BOTOX,VIAL 200 U
OZURDEX,0.7 MG C/1
