CODIGO,descripcion,presentacion,Precio Final,Precio Comp
TA100602,ACENOCOUMAROL,4 mg x 1000 comp,"$189.558,77","$189,559"
TA102103,ALPRAZOLAM (ROSPAZ),"0,5 mg x 1500 comp","$130.849,58","$87,233"
TA102203,ALPRAZOLAM (ROSPAZ),1 mg x 1500 comp,"$151.133,63","$100,756"
TA102303,ALPRAZOLAM (ROSPAZ),2 mg x 1500 comp,"$158.554,98","$105,703"
TA103202,AMITRIPTILINA (AMIPTRIL),25 mg x 1000 comp,"$114.116,58","$114,117"
TA103300,AMITRIPTILINA (AMIPTRIL),75 mg x 500 comp,"$77.956,73","$155,913"
TA102704,AMLODIPINA,5 mg x 1000 comp,"$82.567,08","$82,567"
TA102804,AMLODIPINA,10 mg x 1000 comp,"$92.886,34","$92,886"
TA108100,ARIPPIPRAZOL (APECUR),5 mg  X 900 Comp,"$126.818,08","$140,909"
TA108200,ARIPPIPRAZOL (APECUR),10 mg X 900 Comp,"$211.157,50","$234,619"
TA108300,ARIPPIPRAZOL (APECUR),15 mg X 900 Comp,"$247.398,12","$274,887"
TA1010500,ATORVASTATINA (ATORVAX),10 mg x 1000 comp,"$99.090,34","$99,090"
TA1010600,ATORVASTATINA (ATORVAX),20 mg x 1000 comp,"$133.960,84","$133,961"
TA100203,BIPERIDENO,2 mg x 1000 comp,"$88.299,98","$88,300"
TA104202,CARVEDILOL (CARVIPAW),"6,25 mg x1000 comp","$91.871,91","$91,872"
TA104302,CARVEDILOL (CARVIPAW),12.5 mg x1000 comp,"$113.200,86","$113,201"
TA104402,CARVEDILOL (CARVIPAW),25 mg x1000 comp,"$136.291,71","$136,292"
TA106000,CILOSTAZOL (CILOSPAW),50 mg x 500 comp,"$70.431,77","$140,864"
TA106103,CILOSTAZOL (CILOSPAW),100 mg x 1000 comp,"$239.189,82","$239,190"
TA101704,CLONAZEPAM,"0,5 x 1500 comp","$101.524,28","$67,683"
TA101804,CLONAZEPAM,1 mg x 1500 comp,"$176.171,01","$117,447"
TA101905,CLONAZEPAM,2 mg x 1500 comp,"$130.980,81","$87,321"
TA100703,CLOPIDOGREL,75 mg x 1000 comp,"$240.925,25","$240,925"
TA100204,CLOZAPINA,100 x 1000 comp,"$1.323.480,35","$1.323,480"
,CODEINA +PARACETAMOL,60 mg + 300 mg X 50,"$47.871,49","$957,430"
TA106800,DICLOFENC TAURO POT,50 mg x 500 comp,"$45.168,93","$90,338"
TA105501,DONEPECILO (LUPRACIL),5 mg x 30 comp,"$7.936,06","$264,535"
TA105601,DONEPECILO (LUPRACIL),10 mg x 30 comp,"$9.308,39","$310,280"
TA105100,ESCITALOPRAM (ROSTALOPRAM),10 mg x 900 comp,"$164.325,88","$182,584"
TA105200,ESCITALOPRAM (ROSTALOPRAM),20 mg x 900 comp,"$220.897,45","$245,442"
TA103402,FENOBARBITAL (FENROS),15 mg x 1000 comp,"$219.955,15","$219,955"
TA103503,FENOBARBITAL (FENROS),100 mg x 1000 comp,"$284.483,90","$284,484"
TA102900,FLUNITRAZEPAM (MIRPAW),1 mg x 500 comp,"$127.893,91","$255,788"
TA105700,IBUPROFENO ROSPAW,400 mg x 500 comp,"$67.800,82","$135,602"
TA107800,IBUPROFENO ROSPAW,600 mg x 500 comp,"$111.985,86","$223,972"
TA107200,KETOROLAC  (KETIAL),10 mg x 1000 comp,"$86.071,96","$86,072"
TA107300,KETOROLAC  (KETIAL),20 mg x 1000 comp,"$99.871,95","$99,872"
TA107400,KETOROLAC SUBLINGUAL (KETIAL),10 mg SL x 1000 comp,"$90.340,79","$90,341"
TA103800,LEVOMEPROMAZINA (MEPROZIN),2 mg x 1000 comp,"$114.595,24","$114,595"
TA103900,LEVOMEPROMAZINA (MEPROZIN),25 mg x 1000 comp,"$160.068,93","$160,069"
TA104000,LEVOMEPROMAZINA (MEPROZIN),100 mg x 500 comp,"$214.977,67","$429,955"
TA103603,LOPERAMIDA(LOPERIX),2 mg x 1000 comp,"$76.716,89","$76,717"
TA107005,LORATADINA ROSPAW,10 mg x 1000 comp,"$88.415,45","$88,415"
