Línea,descripcion,Presentación,Envase
Neurociencias,LEXOTANIL 3 MG COMP. X 20,,
Neurociencias,LEXOTANIL 3 MG COMP. X 30,,
Neurociencias,LEXOTANIL 3 MG COMP. X 50,,
Neurociencias,LEXOTANIL 6 MG COMP. X 30,,
Neurociencias,LEXOTANIL 6 MG COMP. X 50,,
Neurociencias,AKATINOL 10 MG COMP REC X 28,,
Neurociencias,AKATINOL 20 MG COMP REC X 28,,
Neurociencias,BRIVIACT 25 MG COMP. REC. X 28,,
Neurociencias,BRIVIACT  50 MG COMP REC X 28,,
Neurociencias,BRIVIACT 100 MG COMP REC X 28,,
Neurociencias,BRIVIACT 10 MG/ML VIAL X 5 ML IV X 10,,
Neurociencias,Briviact Solución Oral 10 mg/ml x 300 ml,,
Neurociencias,Briviact Solución Oral 10 mg/ml x 300 ml,,
Neurociencias,CIRCADIN 2 MG X 30 COMP LIBERACION PROLONGADA,,
Neurociencias,VIMPAT  50 MG COMP REC X 14,,
Neurociencias,VIMPAT 100 MG COMP REC X 28,,
Neurociencias,VIMPAT 150 MG COMP REC X 28,,
Neurociencias,VIMPAT 200 MG COMP REC X 28,,
Neurociencias,NEUPRO 2 MG/24HS PARCHE TRANSDERM. X 7,,
Neurociencias,NEUPRO 4 MG/24HS PARCHE TRANSDERM. X 14,,
Neurociencias,NEUPRO 6 MG/24HS PARCHE TRANSDERM. X 14,,
Neurociencias,NEUPRO 8 MG/24HS PARCHE TRANSDERM. X 14,,
Derma,CONTRACTUBEX GEL X 20 G,,
Derma,CONTRACTUBEX GEL X 50 G,,
Derma,FUCICORT CREMA X 15 G,,
Derma,FUCIDIN CREMA X 15 G,,
Derma,FUCIDIN H CREMA X 15 G,,
Derma,FUCIDIN UNGÜENTO X 15 G,,
Trat. Especiales,IXEMPRA INY 15 MG /8 ML X 1 FCO AMP,,
Trat. Especiales,SUPREFACT DEPOT JERINGA X 1,,
Derma,TACLONEX GEL X 30 G,,
Derma,TACLONEX UNGÜENTO X 30 G,,
Neurociencias,VIMPAT  50 MG COMP REC X 14,,
Neurociencias,VIMPAT 100 MG COMP REC X 28,,
Neurociencias,VIMPAT 150 MG COMP REC X 28,,
Neurociencias,VIMPAT 200 MG COMP REC X 28,,
Neurociencias,VIMPAT 200 MG solución inyectable  x 1 Fco amp 20ml,,
Neurociencias,NEUPRO 2 MG/24HS PARCHE TRANSDERM. X 7,,
Neurociencias,NEUPRO 4 MG/24HS PARCHE TRANSDERM. X 14,,
Neurociencias,NEUPRO 6 MG/24HS PARCHE TRANSDERM. X 14,,
Neurociencias,NEUPRO 8 MG/24HS PARCHE TRANSDERM. X 14,,
clinica,LOSEC 20 MG X 28 COMP,,
clinica,"CUROSURF 120 vial x 1,5 ml",,
clinica,"CUROSURF 240 vial x 3,0 ml",,
clinica,KONAKION MM 10 MG AMP X 5,,
Trat. Especiales,Vesanoid 10 mg x 100 caps.,,
Trat. Especiales,Valixa 450 mg x 60 comprimidos,,
clinica,"CUROSURF 120 vial x 1,5 ml",,
clinica,"CUROSURF 240 vial x 3,0 ml",,
Trat. Especiales,XELODA 500 MG X 120 COMP,,
Trat. Especiales,SUPREFACT DEPOT JERINGA X 1,,
Neurociencias,LEXOTANIL 3 MG COMP. X 30,,
Neurociencias,LEXOTANIL 6 MG COMP. X 30,,
Neurociencias,LEXOTANIL 6 MG COMP. X 50,,
clinica,LOSEC 20 MG X 28 COMP.,,
clinica,KONAKION MM 10 MG AMP X 5,,
Neurociencias,RIVOTRIL 0.5 mg Comp x 30,,
Neurociencias,RIVOTRIL 0.5 mg comp.x 50,,
Neurociencias,RIVOTRIL 0.5 mg Comp x 60,,
Neurociencias,RIVOTRIL 2 mg Comp x 30,,
Neurociencias,RIVOTRIL 2 mg Comp x 50,,
Neurociencias,RIVOTRIL 2 mg Comp x 60,,
Trat. Especiales,Vesanoid 10 mg x 100 caps.,,
Neurociencias,Rohypnol 1 mg x 30 comprimidos,,
Trat. Especiales,XELODA 500 MG X 120 COMP,,
Trat. Especiales,Valixa 450 mg x 60 comprimidos,,
clinica,ATACAND TAB 8MG BL 2X14 EA AR,,
clinica,ATACAND TAB 16MG BL 2X14 EA AR,,
clinica,ATACAND TAB 32MG BL 2X14 EA AR,,
clinica,"ATACAND D 8 MG/12,5 MG x 28 COMP",,
clinica,ATACAND D 16 MG x 28 COMP,,
Neurociencias,Fampyra 10mg Frasco x56,,
,"NeurocienciasEXENTO IVA*115901,221146385",,
,"NeurocienciasEXENTO IVA*57285,2855634334",,
,"clinicaEXENTO IVA*76384,298264608",,
,clinicaEXENTO IVA*2096291,,
,NeurocienciasEXENTO IVA*,,
,Neurociencias,,
,Neurociencias,,
,Neurociencias,,
,Neurociencias,,
,Neurociencias,,
,Trat. Especiales,,
,Neurociencias,,
,Trat. Especiales,,
,Trat. Especiales,,
,clinicaEXENTO IVA*,,
,clinicaEXENTO IVA*,,
,clinicaEXENTO IVA*,,
,clinicaEXENTO IVA*,,
,clinicaEXENTO IVA*,,
,NeurocienciasEXENTO IVA*,,
,EXENTO IVA*,,
,EXENTO IVA*,,
