descripcion,Principio Activo,Presentaciónedwerwer,Envase,presentacion
ALKET,"Epinastina HCL 0,05%",Solución Oftálmica Estéril,Frasco por  5 ml,Solución Oftálmica Estéril Frasco por  5 ml
ALOSOL,"Oximetazolina 0,025%",Solución Oftálmica Estéril,Frasco por 10 ml,Solución Oftálmica Estéril Frasco por 10 ml
ANTILERG,"Ketotifeno 0,05%",Solución Oftálmica Estéril,Frasco por 10 ml,Solución Oftálmica Estéril Frasco por 10 ml
BRIT,"Brimonidina 0,2% + Timolol 0,5%",Solución Oftálmica Estéril,Frasco por 5 ml,Solución Oftálmica Estéril Frasco por 5 ml
BRIXIA,"Azelastina HCL 0,05%",Solución Oftálmica Estéril,Frasco por 6 ml,Solución Oftálmica Estéril Frasco por 6 ml
CIPOS 0.1%,"Ciclosporina 0,1%",Solución Oftálmica Estéril,Frasco por  5 ml,Solución Oftálmica Estéril Frasco por  5 ml
COOL GEL,"Carbomer 0,2%",Gel Oftálmico Estéril,Pomo por 10 gramos,Gel Oftálmico Estéril Pomo por 10 gramos
COOL TEARS,"HPMC 0,3%",Solución Oftálmica Estéril,Frasco por 20 ml,Solución Oftálmica Estéril Frasco por 20 ml
DIABO,Acetazolamida 250 mg,Comprimidos Ranurados,Envase por 50 com. ranurados,Comprimidos Ranurados Envase por 50 com. ranurados
FENAC,"Bromfenac 0,09%",Solución Oftálmica Estéril,Frasco por 5 ml,Solución Oftálmica Estéril Frasco por 5 ml
FLOMOX,"Moxifloxacina 0,5%",Solución Oftálmica Estéril,Frasco por 5 ml,Solución Oftálmica Estéril Frasco por 5 ml
GLAUCOPROST,"Travoprost 0,004%",Solución Oftálmica Estéril,Frasco por 3 ml,Solución Oftálmica Estéril Frasco por 3 ml
GLAUCOSTAT,"Latanoprost 0,005%",Solución Oftálmica Estéril,"Frasco por 2,5 ml","Solución Oftálmica Estéril Frasco por 2,5 ml"
GLAUCOSTAT T,"Latanoprost 0,005% +Timolol 0,5%",Solución Oftálmica Estéril,"Frasco por 2,5 ml","Solución Oftálmica Estéril Frasco por 2,5 ml"
GLAUTEOLOL 2%,Carteolol 2%,Solución Oftálmica Estéril,Frasco por 5 ml,Solución Oftálmica Estéril Frasco por 5 ml
LOTEVIS,"Loteprednol 0,5%",Suspensión Oftálmica Estéril,Frasco por 5 ml,Suspensión Oftálmica Estéril Frasco por 5 ml
LOTEVIS T,"Loteprednol 0,5% + Tobramicina 0,3%",Suspensión Oftálmica Estéril,Frasco por 5 ml,Suspensión Oftálmica Estéril Frasco por 5 ml
