Código,EAN 13,Producto,presentacion,Envase,,DROGUERIA,DROGUERIA,SUGERIDO
"3,90E+11","7,80E+12",CHORAPUR 5000 UI,,,,"161.693,44","195.649,06","283.691,14"
"3,90E+11","7,80E+12",DESMOPRESIN CPR 0.2 MG X 100TR,,,,"170.846,31","206.724,03","299.749,85"
"3,90E+11","7,80E+12",DESMOPRESIN CPR 0.1 MG X100 TR,,,,"105.446,74","127.590,56","185.006,31"
"3,90E+11","7,80E+12",DESMOPRESIN CPR 0.2 MG X 30 TR,,,,"52.445,02","63.458,48","92.014,79"
"3,90E+11","7,80E+12",DESMOPRESIN SOL INY X10 AMP TR,,,,"99.200,58","120.032,70","174.047,41"
"3,90E+11","7,80E+12",DESMOPRESIN MELT 120 MCG X30TR,,,,"54.630,05","66.102,37","95.848,43"
"3,90E+11","7,80E+12",DURATOCIN SOL INYECT X 5 AMP,,,,"219.114,55","265.128,60","384.436,47"
"3,90E+11","7,80E+12",FIRMAGON 80 MG X1 TR,,,,"398.082,72","481.680,09","698.436,13"
"3,90E+11","7,80E+12",FIRMAGON 120 MG X 2 TR,,,,"431.691,91","522.347,21","757.403,45"
"3,90E+11","7,80E+12",GLYPRESSIN 1 MG X 5 AMP TR,,,,"847.575,95","1.025.566,90","1.487.072,00"
"3,90E+11","7,80E+12",GONAPEPTYL DAILY 7 JERIN PR TR,,,,"321.962,50","389.574,63","564.883,21"
"3,90E+11","7,80E+12",LHRH FERRING 1 AMP X 1 ML,,,,"212.396,06","256.999,23","372.648,88"
"3,90E+11","7,80E+12",MENOPUR 1200 UI X 1 AMPOLLA TR,,,,"1.182.575,95","1.430.916,90","2.074.829,51"
"3,90E+11","7,80E+12",MENOPUR 75 UI X 1 AMPOLLA TR,,,,"74.609,81","90.277,87","130.902,91"
"3,90E+11","7,80E+12",MENOPUR 75 UI X 10 AMPOLLAS TR,,,,"725.166,21","877.451,11","1.272.304,11"
"3,90E+11","7,80E+12",MENOPUR 75 UI X 5 AMPOLLAS TR,,,,"362.562,27","438.700,35","636.115,51"
"3,90E+11","7,80E+12",PENTASA CPR 500 MG X 100 TR,,,,"147.673,35","178.684,76","259.092,90"
"3,90E+11","7,80E+12",PENTASA 2G GRANULADOS x 30 TR,,,,"149.522,82","180.922,61","262.337,78"
"3,90E+11","7,80E+12",PENTASA 1G GRANULADOS 50 X  TR,,,,"139.106,51","168.318,88","244.062,37"
"3,90E+11","7,80E+12",PENTASA CPR 1GR  X 60 TR,,,,"165.192,90","199.883,41","289.830,94"
"3,90E+11","7,80E+12",PENTASA SUPOS 1 GR X 28 TR,,,,"98.401,09","119.065,32","172.644,72"
"3,90E+11","7,80E+12",PENTASA CPR 500 MG X 50 TR,,,,"77.319,37","93.556,44","135.656,84"
"3,90E+11","7,80E+12",PENTASA CPR 1GR  X 30,,,,"87.816,51","106.257,98","154.074,07"
"3,90E+11","7,80E+12",PENTASA ENEMA 1GR X 7 POMOS TR,,,,"57.012,68","68.985,34","100.028,74"
"3,90E+11","7,80E+12",PENTASA 4 GR SACHET X 30,,,,"248.837,43","301.093,29","436.585,27"
"3,90E+11","7,80E+12",PICOPREP SACHET 10MG X2 16.1G,,,,"46.411,46","56.157,87","81.428,91"
"3,90E+11","7,80E+12",PROPESS SIST DE LIBER VAG X 1,,,,"91.588,85","110.822,51","160.692,64"
"3,90E+11","7,80E+12",RONTAGEL 80 X 1 G BESINS,,,,"47.563,28","57.551,57","83.449,78"
"3,90E+11","7,80E+12",TOCOFENO  50 MG X 20 COMP,,,,"20.650,36","24.986,93","36.231,05"
"3,90E+11","7,80E+12",TRACTOCILE SOL P/INFUSION 5 ML,,,,"200.319,83","242.386,99","351.461,14"
"3,90E+11","7,80E+12",TRACTOCILE SOL INY X 0.9 ML,,,,"114.383,31","138.403,81","200.685,52"
"3,90E+11","7,80E+12",TRH FERRING 1 AMP X 1 ML,,,,"29.207,19","35.340,70","51.244,02"
