Cert.,Código,descripcion,presentacion,Presentacióncaca,Envase
46337,4010701,ACRYLARM     PAMI,GEL POMO X 10 GRAMOS,GEL,POMO X 10 GRAMOS
54024,4010702,ACRYLARM PLUS  PAMI,GEL POMO X 10 GRAMOS,GEL,POMO X 10 GRAMOS
52359,4010201,AUCIC 0.5% PAMI,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
52359,4010202,AUCIC 1%      PAMI,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
52359,4010207,AUCIC 1% LC,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
52359,4010203,AUCIC 1.5%   PAMI,GEL POMO X 5 GRAMOS,GEL,POMO X 5 GRAMOS
02-596782,4000402,AUCIC CAPS,CAPSULAS ENVASE X 30 CAPS.,CAPSULAS,ENVASE X 30 CAPS.
57638,4082601,AUCIC PLUS   PAMI,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
48167,4009501,BRIMOPRESS   PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
48167,4009502,BRIMOPRESS LC,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
53030,4081101,BRIMOPRESS T  PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
53030,4081102,BRIMOPRESS T LC,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
22848,4014701,CICLOPENTOLATO POEN,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
52874,4015801,CLOSPORIL 0.1%  PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
02-603008,4001801,DIAR,CAPSULAS ENVASE X 30 CAPS.,CAPSULAS,ENVASE X 30 CAPS.
51955,4091102,DIARIS  PAMI,CAPSULAS ENVASE  X 30 CAPS.,CAPSULAS,ENVASE  X 30 CAPS.
02-598945,4087101,DIARIS OMEGA,CAPSULAS ENVASE X 30 CAPS.,CAPSULAS,ENVASE X 30 CAPS.
47188,4031106,DROPSTAR  PAMI,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
47188,4031110,DROPSTAR LC,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
44902,4031108,DROPSTAR P  PAMI,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
45275,4523802,ERITROFARM  PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
45275,4523801,ERITROFARM   PAMI,UNGÜENTO UNIDOSIS X 20,UNGÜENTO,UNIDOSIS X 20
44902,4027206,FLUORESCEINA 0.25%,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
26474,4073802,FOTOPTIC,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
39060,4070301,FOTORRETIN,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
55759,4081601,GATIDEX  PAMI,SUSPENSION FRASCO X 5 ML,SUSPENSION,FRASCO X 5 ML
51521,4027902,GATIF FORTE   PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
48301,4074001,GLAUCOTENSIL TD  PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
48301,4074002,GLAUCOTENSIL TD  LC,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
54154,4030301,GOTA PC,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
54154,4030304,GOTA PC PLUS,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
9101,4063706,GOTA PC DESCONGESTIVO,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
9101,4063707,GOTA PC DESCONGESTIVO BAÑO OCULAR,SOLUCION FRASCO X 80 ML,SOLUCION,FRASCO X 80 ML
36557,4064001,GOTABIOTIC  PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
38669,4084901,GOTABIOTIC D  PAMI,SUSPENSION FRASCO X 5 ML,SUSPENSION,FRASCO X 5 ML
44946,4072701,GOTABIOTIC F  PAMI,SUSPENSION FRASCO X 5 ML,SUSPENSION,FRASCO X 5 ML
44946,4072702,GOTABIOTIC F  PAMI,UNGÜENTO POMO X 3.5 GRAMOS,UNGÜENTO,POMO X 3.5 GRAMOS
36557,4064002,GOTABIOTIC PAMI,GEL POMO X 5 GRAMOS,GEL,POMO X 5 GRAMOS
49102,4035601,KETIF,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
34427,4081502,LAGRIMA ARTIFICIAL POEN,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
34427,4008102,LASIN,SOLUCION FRASCO X 3 ML,SOLUCION,FRASCO X 3 ML
50395,4008101,LASIN,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
3514/2021,4002001,LIDCLEAN,ESPUMA FRASCO X 50 ML,ESPUMA,FRASCO X 50 ML
52812,4086201,LOTEMICIN   PAMI,SUSPENSION FRASCO X 5 ML,SUSPENSION,FRASCO X 5 ML
48630,4028905,LOTESOFT PAMI,"UNGÜENTO POMO X 3,5 GR",UNGÜENTO,"POMO X 3,5 GR"
48630,4028902,LOTESOFT PAMI,SUSPENSION FRASCO X 5 ML,SUSPENSION,FRASCO X 5 ML
50405,4074901,LOUTEN  T   PAMI,SOLUCION FRASCO X 2.5 ML,SOLUCION,FRASCO X 2.5 ML
47750,4038102,LOUTEN PAMI,EMULSION FRASCO X 2.5 ML,EMULSION,FRASCO X 2.5 ML
53297,4008701,NATAX   PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
47354,4052602,NEWCLAR,SOLUCION FRANCO X 10 ML,SOLUCION,FRANCO X 10 ML
48493,4055702,POEN CAINA,SOLUCION FRASCO X 10 ML,SOLUCION,FRASCO X 10 ML
24380,4084703,POENBIOPTAL,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
48308,4074402,POENBIOPTAL NF,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
43106,4036601,POENKERAT   PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
38251,4063902,"POENTIMOL 0,50%   PAMI",SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
36457,4085201,PROVISUAL COMPUESTO,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
51397,4076101,QUIDEX   PAMI,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
51397,4076102,QUIDEX  PAMI,UNGÜENTO POMO X 3.5 GRAMOS,UNGÜENTO,POMO X 3.5 GRAMOS
57282,4020701,TOLF   PAMI,EMULSION FRASCO X 5 ML,EMULSION,FRASCO X 5 ML
56542,4006701,TRALER,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
56542,4006702,TRALER LC,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
59732,4082201,XEGREX,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
59732,4082203,XEGREX LC,SOLUCION FRASCO X 5 ML,SOLUCION,FRASCO X 5 ML
,,,,,
2174-4,4058301,ARLYT CLEAN,SOLUCION FRASCO X 35 ML,SOLUCION,FRASCO X 35 ML
2174-4,4058302,ARLYT CLEAN RGP,SOLUCION FRASCO X 35 ML,SOLUCION,FRASCO X 35 ML
2174-1,4058102,ARLYT EXPRESS,SOLUCION FRASCO X 120 ML,SOLUCION,FRASCO X 120 ML
2174-1,4058103,ARLYT EXPRESS,SOLUCION FRASCO X 240 ML,SOLUCION,FRASCO X 240 ML
2174-1,4058104,ARLYT EXPRESS,SOLUCION FRASCO X 360 ML,SOLUCION,FRASCO X 360 ML
2174-1,4058106,ARLYT EXPRESS,SOLUCION FRASCO X 500 ML,SOLUCION,FRASCO X 500 ML
2174-1,4058101,ARLYT EXPRESS,SOLUCION FRASCO X 60 ML,SOLUCION,FRASCO X 60 ML
2174-4,4010206,ARLYT FRESH,SOLUCION FRASCO X 15 ML,SOLUCION,FRASCO X 15 ML
,4037501,ARLYT KLINNER,SOLUCION FRASCO X 35 ML,SOLUCION,FRASCO X 35 ML
2174-5,4031109,ARLYT LUBRICANTE,SOLUCION FRASCO X 15 ML,SOLUCION,FRASCO X 15 ML
2174-2,4058202,ARLYT PREMIUM,SOLUCION FRASCO X 120 ML,SOLUCION,FRASCO X 120 ML
2174-2,4058203,ARLYT PREMIUM,SOLUCION FRASCO X 240 ML,SOLUCION,FRASCO X 240 ML
2174-2,4058204,ARLYT PREMIUM,SOLUCION FRASCO X 360 ML,SOLUCION,FRASCO X 360 ML
2174-2,4058201,ARLYT PREMIUM,SOLUCION FRASCO X 60 ML,SOLUCION,FRASCO X 60 ML
2174-3,4058205,ARLYT RGP,SOLUCION FRASCO X 120 ML,SOLUCION,FRASCO X 120 ML
2174-6,4018205,ARLYT FILL,SOLUCION ENVASE CON 4 FRASCOS x 35ml,SOLUCION,ENVASE CON 4 FRASCOS x 35ml
2174-6,4018202,ARLYT SOLUCION SALINA,SOLUCION FRASCO X 500 ML,SOLUCION,FRASCO X 500 ML
,,59732SOLUCION7795368054866,"7,80E+25",,
,,"5,97E+17","7,80E+25",,
,,SOLUCION7795368001600,"7,80E+25",,
,,2174-4SOLUCION7795368002201,"7,80E+25",,
,,2174-4SOLUCION7795368002942,"7,80E+25",,
,,2174-1SOLUCION7795368055092,"7,80E+25",,
,,2174-1SOLUCION7795368547368,"7,80E+25",,
,,2174-1SOLUCION7795368001570,"7,80E+25",,
,,2174-1SOLUCION7795368054385,"7,80E+25",,
,,2174-1SOLUCION7795368001655,"7,80E+25",,
,,2174-4SOLUCION7795368001051,"7,80E+25",,
,,SOLUCION7795368000160,"7,80E+12",,
,,2174-5SOLUCION7795368000047,"7,80E+12",,
,,2174-2SOLUCION7795368054149,"7,80E+12",,
,,2174-2SOLUCION7795368054569,"7,80E+12",,
,,2174-2SOLUCION7795368001273,"7,80E+12",,
,,2174-2SOLUCION7795368001075,"7,80E+12",,
,,2174-3SOLUCION7795368547528,"7,80E+12",,
