Cert.,Código,descripcion,Presentación
47.122,8050213,BIFORT 25 mg.comp.x 2,
47.122,8050216,BIFORT 25 mg.comp.x 10,
47.122,8050217,BIFORT 50 mg.comp.x 2,
47.122,8050218,BIFORT 50 mg.comp.x 4,
47.122,8050220,BIFORT 50 mg.comp.x 10,
47.122,8050211,BIFORT 50 mg.comp.x 20,
47.122,8050221,BIFORT 100 mg.comp.x 2,
47.122,8050222,BIFORT 100 mg.comp.x 4,
47.122,8050223,BIFORT 100 mg.comp.x 6,
47.122,8050224,BIFORT 100 mg.comp.x 10,
47.122,8050298,BIFORT-M 50 mg.comp.mast.x 2 FRUTILLA,
47.122,8050300,BIFORT-M 50 mg.comp.mast.x 20 FRUTILLA,
47.122,8050283,BIFORT-M 50 mg.comp.mast.x 1,
47.122,8050284,BIFORT-M 50 mg.comp.mast.x 2,
47.122,8050288,BIFORT-M 50 mg.comp.mast.x 4,
47.122,8050285,BIFORT-M 50 mg.comp.mast.x 20,
47.122,8050286,BIFORT-M 50 mg.comp.mast.x 30,
47.122,8050287,BIFORT-M 50 mg.comp.mast.x 60,
38.641,8050033,CALMADOR  100 mg.amp.x 6,
38.641,8050117,CALMADOR  50 mg.amp.x 3,
38.641,8050032,CALMADOR  50 mg.amp.x 6,
38.641,8050031,CALMADOR  Comp.x 6,
38.641,8050063,CALMADOR  Comp.x 10,
38.641,8050025,CALMADOR  Comp.x 20,
38.641,8050037,CALMADOR  Comp.x 30,
60.029,8050039,CALMADOR DEX COMP. X 20,
38.641,8050029,CALMADOR  50 Mg./ml. gts.x 10 ml.,
38.641,8050030,CALMADOR  50 Mg./ml. gts.x 20 ml.,
38.641,8050410,CALMADOR 100 Mg./ml.  gts. X 10 ml.,
38.641,8050411,CALMADOR 100 Mg./ml.  gts. X 20 ml.,
38.641,8050391,CALMADOR CB 50 Mg. x 10 Cáp. Bl.,
38.641,8050392,CALMADOR CB 50 Mg. x 20 Cáp. Bl.,
38.641,8050393,CALMADOR CB 50 Mg. x 30 Cáp. Bl.,
38.641,8050058,CALMADOR  Retard 100 mg.x 10 comp.,
38.641,8050408,CALMADOR RETARD 150 Mg. x 5 Comp. Rec. Lib. Prol.,
50.984,8050022,CALMADOR PLUS x 10 comp.rec.,
50.984,8050023,CALMADOR PLUS x 20 comp.rec.,
50.984,8050035,CALMADOR PLUS x 30 comp.rec.,
55.718,8050038,CAPILFOR 1 mg.x 30 comp.,
58.024,8050418,COX-QUIN 60 Mg. X 14 Comp. Rec.,
58.024,8050419,COX-QUIN 60 Mg. X 28 Comp. Rec.,
58.024,8050394,COX-QUIN 60 Mg. X 30 Comp. Rec.,
58.024,8050420,COX-QUIN 90 Mg. X 14 Comp. Rec.,
58.024,8050395,COX-QUIN 90 Mg. X 15 Comp. Rec.,
58.024,8050421,COX-QUIN 90 Mg. X 28 Comp. Rec.,
58.024,8050396,COX-QUIN 90 Mg. X 30 Comp. Rec.,
58.024,8050397,COX-QUIN 120 Mg. X 7 Comp. Rec.,
57.253,8050118,CRUZAL 20 x 1 jer.prell.2 ml.,
57.253,8050119,CRUZAL 40 x 1 jer.prell.2 ml.,
57.253,8050124,CRUZAL L 20 x 1 jga.prell.+f.a.+adapt,
56.746,8050405,"DARIFIN 7,5 Mg. x 30 Comp. Rec. L.P.",
56.746,8050406,DARIFIN 15 Mg.x 30 Comp. Rec. L.P.,
45.240,8050172,DERRUMAL 300 X 30 cap.,
55.126,8050070,FIBAN 50 mg. X 30 comp.rec.,
55.126,8050071,FIBAN 100 mg. X 30 comp.rec.,
57.891,8050398,FINALIT Comp. Lib. Prol. X 30,
57.891,8050399,FINALIT Comp. Lib. Prol. X 60,
57.891,8050400,FINALIT Pol. Sol. Sob. X 60,
43.008,8050201,FINASTERIN x 30 comp.,
43.008,8050199,FINASTERIN x 60 comp.,
47.097/ 51.746,8050280,FINDECLIN COMBI x 32 comp.,
47.097,8050277,FINDECLIN 70 mg.x 4 comp.,
47.097,8050278,FINDECLIN 70 mg.x 8 comp.,
44.376,8050205,FOSFOMIK 2 mg. x 30 comp.,
44.376,8050206,FOSFOMIK 5 mg.x 20 comp.,
44.376,8050207,FOSFOMIK 5 mg.x 30 comp.,
47.431,8050178,HIPERTENSAL 5 mg.x 30 comp.,
47.431,8050180,HIPERTENSAL 10 mg.x 30 comp.,
55.213,8050310,KERAMIX 10 mg.x 10 comp.,
55.213,8050312,KERAMIX 20 mg.x 10 comp.,
55.213,8050313,KERAMIX 20 mg.x 20 comp.,
55.213,8050314,KERAMIX RAPID 10 mg.x 10 comp.rec,
38.791,8050153,LETONDAL X 10 comp.,
46.744/52.689,8050241,LIPAREX DUO 10/10 x 60 comp.,
46.744/52.689,8050242,LIPAREX DUO 20/10 x 60 comp.,
46.744,8050236,LIPAREX 10 mg.x 30 comp.,
46.744,8050237,LIPAREX 10 mg.x 60 comp.,
46.744,8050238,LIPAREX 20 mg.x 30 comp.,
46.744,8050239,LIPAREX 20 mg.x 60 comp.,
46.744,8050240,LIPAREX 40 mg.x 30 comp.,
54.220,8050111,LIPAREX PLUS 10    10/10 x 30 comp.,
54.220,8050112,LIPAREX PLUS 20    20/10 x 30 comp.,
49.291,8050193,LISTAFLEX x 10 comp.,
49.291,8050202,LISTAFLEX x 20 comp.,
49.291,8050195,LISTAFLEX x 30 comp.,
53.304,8050188,LISTAFLEX FORTE x 10 comp.,
53.304,8050189,LISTAFLEX FORTE x 20 comp.,
53.304,8050192,LISTAFLEX FORTE x 30 comp.,
51.361,8050108,"LUDASTERIN 0,5 mg.x 30 comp.",
51.361,8050109,"LUDASTERIN 0,5 mg.x 60 comp.",
37.269,8050141,LUPAN DERMICO X 50 gr.,
37.269,8050140,LUPAN PROCT  PDAX50 gr en 10 canulas,
53.405,8050051,MESEL x 1  comp.rec.,
53.405,8050052,MESEL x  2 comp.rec.,
54.197,8050113,MESOTEROL 5 5 mg.x 30 comp.Rec.,
54.197,8050115,MESOTEROL 10 10 mg.x 30 comp.Rec.,
54.197,8050116,MESOTEROL 20 20 mg.x 30 comp.Rec.,
55.480,8050301,MOLAGAR 4 mg.x 20 comp.,
55.480,8050303,MOLAGAR 4 mg.x 6 amp.,
33.709,8050021,NATROPAS 75 mg.env.x 100 comp.,
53.303,8050126,OSELTAMIVIR FINADIET 75 mg.x  10 cap.,
55.128,8050048,PISONO 5 mg.x 20 comp.,
55.128,8050151,PISONO 5 mg.x 30 comp.,
55.128,8050049,PISONO 10 mg.x 20 comp.,
55.128,8050152,PISONO 10 mg.x 30 comp.,
35.588,8050064,PROSTACUR bls.x 50 comp.,
35.588,8050065,PROSTACUR bls.x 100 comp.,
47.143,8050040,REGULANE AF comp.masticable x 10,
34.950,8050042,REGULANE x 10 comp.,
