codigo,descripcionhgdf,,descripcion,presentacion
1898,ESPADOL DETTOL TOALLAS ANTIBACTERIALES 10 U,10 Toallas,ESPADOL DETTOL TOALLAS ANTIBACTERIALES 10 U10 Toallas,10 Toallas
3059509,ESPADOL TOALLITAS SKIN X 10,10 Toallas,ESPADOL TOALLITAS SKIN X 1010 Toallas,10 Toallas
1899,ESPADOL TOALLITAS X 50,50 Toallas,ESPADOL TOALLITAS X 5050 Toallas,50 Toallas
3132173,ESPDL AR BSORIGINAL80GX1,1 x 80 gr,ESPDL AR BSORIGINAL80GX11 x 80 gr,80 gr
3140485,ESPDL AR BSSKINCARE80GX1,1 x 80 gr,ESPDL AR BSSKINCARE80GX11 x 80 gr,80 gr
3136038,ESPDL AR BSACTIVEDEO80GRX1,1 x 80 gr,ESPDL AR BSACTIVEDEO80GRX11 x 80 gr,80 gr
3136037,ESPDL AR BSCREMOSO80GRX1,1 x 80 gr,ESPDL AR BSCREMOSO80GRX11 x 80 gr,80 gr
3136040,ESPDL AR BSALOE80GRX1,1 x 80 gr,ESPDL AR BSALOE80GRX11 x 80 gr,80 gr
3136039,ESPDL AR BSEXFOLIANTE80GRX1,1 x 80 gr,ESPDL AR BSEXFOLIANTE80GRX11 x 80 gr,80 gr
3136221,ESPDL AR BSALOE80GRX3,3 x 80 gr,ESPDL AR BSALOE80GRX33 x 80 gr,240 gr
3136226,ESPDL AR BSORIGINAL80GRX3,3 x 80 gr,ESPDL AR BSORIGINAL80GRX33 x 80 gr,240 gr
3136225,ESPDL AR BSSKINCARE80GRX3,3 x 80 gr,ESPDL AR BSSKINCARE80GRX33 x 80 gr,240 gr
3136223,ESPDL AR BSACTIVEDEO80GRX3,3 x 80 gr,ESPDL AR BSACTIVEDEO80GRX33 x 80 gr,240 gr
3136224,ESPDL AR BSCREMOSO80GRX3,3 x 80 gr,ESPDL AR BSCREMOSO80GRX33 x 80 gr,240 gr
3136222,ESPDL AR BSEXFOLIANTE80GRX3,3 x 80 gr,ESPDL AR BSEXFOLIANTE80GRX33 x 80 gr,240 gr
852,ESPADOL ANTISEPTICO 125 ML,1 x 125 cc,ESPADOL ANTISEPTICO 125 ML1 x 125 cc,125 cc
853,ESPADOL ANTISEPTICO 250 ML,1 x 250 cc,ESPADOL ANTISEPTICO 250 ML1 x 250 cc,250 cc
14890,ESPADOL ALCOHOL GEL 50 ML,1 x 50 ml,ESPADOL ALCOHOL GEL 50 ML1 x 50 ml,50 ml
14891,ESPADOL ALCOHOL GEL 200 ML,1 x 200 ml,ESPADOL ALCOHOL GEL 200 ML1 x 200 ml,200 ml
3193634,ESPADOL JABON LIQUIDO ORIGINAL DP 500 ML,1 x 500 ml,ESPADOL JABON LIQUIDO ORIGINAL DP 500 ML1 x 500 ml,500 ml
3193635,ESPADOL JABON LIQUIDO SKINCARE DP 500 ML,1 x 500 ml,ESPADOL JABON LIQUIDO SKINCARE DP 500 ML1 x 500 ml,500 ml
3193636,ESPADOL JAB. LIQ. ORIGINAL PUMP 220ML,1 x 220 ml,ESPADOL JAB. LIQ. ORIGINAL PUMP 220ML1 x 220 ml,220 ml
3193637,ESPADOL JAB. LIQ. CREMOSO DP 220ML,1 x 220 ml,ESPADOL JAB. LIQ. CREMOSO DP 220ML1 x 220 ml,220 ml
3193638,ESPADOL JAB. LIQ. SKINCARE DP 220ML,1 x 220 ml,ESPADOL JAB. LIQ. SKINCARE DP 220ML1 x 220 ml,220 ml
3193639,ESPADOL JABÓN LÍQUIDO SKINC PUMP 220ML,1 x 250 ml,ESPADOL JABÓN LÍQUIDO SKINC PUMP 220ML1 x 250 ml,250 ml
3193640,ESPADOL JABÓN LÍQUIDO CREMOS PUMP 220ML,1 x 220 ml,ESPADOL JABÓN LÍQUIDO CREMOS PUMP 220ML1 x 220 ml,220 ml
3193651,ESPADOL JABÓN LÍQUIDO ORIGPUMP 220ML,1 x 220 ml,ESPADOL JABÓN LÍQUIDO ORIGPUMP 220ML1 x 220 ml,220 ml
3193653,ESPADOL JABÓN LÍQUIDO REV PUMP 220ML,1 x 220 ml,ESPADOL JABÓN LÍQUIDO REV PUMP 220ML1 x 220 ml,220 ml
3273575,VEET BANDA CORPORAL PIEL SENSIBLE x12st,1 X 6 Bandas Dobles,VEET BANDA CORPORAL PIEL SENSIBLE x12st1 X 6 Bandas Dobles,6 Bandas Dobles
3244401,VEET BANDA AXILA & BIKINI PIEL SENSIBLE x16st,1 X 8 Bandas Dobles,VEET BANDA AXILA & BIKINI PIEL SENSIBLE x16st1 X 8 Bandas Dobles,8 Bandas Dobles
3242679,VEET BANDA FACIAL PIEL SENSIBLE x16st,1 X 10 Bandas Dobles,VEET BANDA FACIAL PIEL SENSIBLE x16st1 X 10 Bandas Dobles,10 Bandas Dobles
3233770,VEET AR SHOWERSENSIT150MLX5,1 X 150 ML,VEET AR SHOWERSENSIT150MLX51 X 150 ML,150 ml
3200970,VEET AR 6X100ML BUASENS,1 x 100 ml,VEET AR 6X100ML BUASENS1 x 100 ml,100 ml
3233792,CREMA KIT FACIAL 2X50ML,2 x 50 ml,CREMA KIT FACIAL 2X50ML2 x 50 ml,100 ml
3233733,VEET LN BCNORMAL100MLX12,1 x 100 ml,VEET LN BCNORMAL100MLX121 x 100 ml,100 ml
3233735,VEET LN BCSENSITIVE100MLX12,1 x 100 ml,VEET LN BCSENSITIVE100MLX121 x 100 ml,100 ml
3233791,VEET LN BCMENNORMAL200MLX6,1 x 200 ml,VEET LN BCMENNORMAL200MLX61 x 200 ml,200 ml
3140246,K-Y AR JELLY 100 G,1 x 100 gr,K-Y AR JELLY 100 G1 x 100 gr,100 gr
3140247,K-Y AR JELLY 50 G,1 x 50 gr,K-Y AR JELLY 50 G1 x 50 gr,50 gr
3183365,KY NATURALS 50ML,1 x 50 gr,KY NATURALS 50ML1 x 50 gr,50 gr
298313,STREPSILS MIEL Y LIMON X 8 CAR,1 x 8 Comprimidos,STREPSILS MIEL Y LIMON X 8 CAR1 x 8 Comprimidos,8 Comprimidos
3020725,STREPSILS PLUS 8 LZ CAR,1 x 8 Comprimidos,STREPSILS PLUS 8 LZ CAR1 x 8 Comprimidos,8 Comprimidos
,,,nanananananananan232,as  9
,,,nanananananananan3,as
,,,NATURALS,as X10
,,,nanananananananan1,as
,,,DUO,as66
,,,na,as
,,,nanananananan vent,as
,,,ESPADOSSLA,as 5
,,,nananananana,as
,,,nanananan NATURALS,as
,,,anananan,as
,,,nanananananananan66,as
