Línea,descripcion,presentacion
FAZ DIV. DERMATOLOGÍA,AEROGAL AEROSOL X 170 GR.,
FAZ DIV. DERMATOLOGÍA,AMINOTERAPIA CAP CHAMPU 120 ML,
FAZ DIV. DERMATOLOGÍA,AMINOTERAPIA COMP. REC. X 120,
FAZ DIV. DERMATOLOGÍA,AMINOTERAPIA EFERV COMP X 30,
FAZ DIV. DERMATOLOGÍA,AMINOTERAPIA X 30 COMP,
FAZ DIV. DERMATOLOGÍA,AMINOTERAPIA X 90 COMP,
FAZ DIV. DERMATOLOGÍA,AQUATOP Crema x 250 gr,
FAZ DIV. DERMATOLOGÍA,ASOLMICINA DOX 100 MG X 15 COMP.,
FAZ DIV. DERMATOLOGÍA,ASOLMICINA DOX 100 MG X 30 COMP.,
FAZ DIV. DERMATOLOGÍA,BIOTIN A 5 MG X 30 COMP.,
FAZ DIV. DERMATOLOGÍA,BLACOR CREMA,
FAZ DIV. DERMATOLOGÍA,CICATUL N.F. CREMA X 30 GR,
FAZ DIV. DERMATOLOGÍA,CICATUL N.F. GASAS MONOD. X 10,
FAZ DIV. DERMATOLOGÍA,CLOBEPLUS CREMA X 20 G,
FAZ DIV. DERMATOLOGÍA,CREMSOR CREMA,
FAZ DIV. DERMATOLOGÍA,DERMOPER-O 5% CREMA X 100 G,
FAZ DIV. DERMATOLOGÍA,DEXAMERAL 4 MG X 10 COMP.,
FAZ DIV. DERMATOLOGÍA,DEXAMERAL 4 MG X 20 COMP.,
FAZ DIV. DERMATOLOGÍA,DONIQ 0.3% GEL X 30 G,
FAZ DIV. DERMATOLOGÍA,DONIQ DUO GEL  X 45 G,
FAZ DIV. DERMATOLOGÍA,DONIQ X 30 G,
FAZ DIV. DERMATOLOGÍA,FLEXRESAN 10 mg  x 30 CAPS,
FAZ DIV. DERMATOLOGÍA,FLEXRESAN X 30 CAPS. (2 X 1),
FAZ DIV. DERMATOLOGÍA,FLUZOL 150 MG X 4 COMP.,
FAZ DIV. DERMATOLOGÍA,FOLIUM CR LUBRICANTE X 60 G,
FAZ DIV. DERMATOLOGÍA,GELBIOTIC CREMA X 15 G,
FAZ DIV. DERMATOLOGÍA,GELBIOTIC PLUS X 15 G,
FAZ DIV. DERMATOLOGÍA,KEDUO CREMA X 15 G,
FAZ DIV. DERMATOLOGÍA,KEDUO SHAMPOO 2 % X 100 ML,
FAZ DIV. DERMATOLOGÍA,LACTIBON BARRA X 120 MG,
FAZ DIV. DERMATOLOGÍA,LACTIBON LOCION X 120 ML,
FAZ DIV. DERMATOLOGÍA,MEIBI 100 MG X 30 COMP.REC.,
FAZ DIV. DERMATOLOGÍA,MEIBI 50 MG X 30 COMP.REC.,
FAZ DIV. DERMATOLOGÍA,MENCOGRIN ANTICASPA CH X 120 ML,
FAZ DIV. DERMATOLOGÍA,MENCOGRIN AP CHAMPU X 120 ML,
FAZ DIV. DERMATOLOGÍA,PANCUTAN GEL NF x 20 gr,
FAZ DIV. DERMATOLOGÍA,ROSATINA 1% CREMA X 30 GR,
FAZ DIV. DERMATOLOGÍA,SALIMIDIN 100 MG X 15 CAPS.,
FAZ DIV. DERMATOLOGÍA,SALIMIDIN 100 MG X 30 CAPS.,
FAZ DIV. DERMATOLOGÍA,SALIMIDIN 200 MG X 14 CAPS,
FAZ DIV. DERMATOLOGÍA,SALIMIDIN 200 MG X 21 CAPS,
FAZ DIV. DERMATOLOGÍA,SALIMIDIN 200 MG X 7 CAPS,
FAZ DIV. DERMATOLOGÍA,SEBOCLEAR 100 X 10 COMP,
FAZ DIV. DERMATOLOGÍA,SEBOCLEAR 100 X 30 COMP,
FAZ DIV. DERMATOLOGÍA,SEBOCLEAR X 10 COMP,
FAZ DIV. DERMATOLOGÍA,SEBOCLEAR X 30 COMP,
FAZ DIV. DERMATOLOGÍA,SECURO X 2 COMP,
FAZ DIV. DERMATOLOGÍA,SECURO X 6 COMP,
FAZ DIV. DERMATOLOGÍA,STOPALER 10 MG X 10 COMP.,
FAZ DIV. DERMATOLOGÍA,STOPALER 10 MG X 20 COMP.,
FAZ DIV. DERMATOLOGÍA,SUTRICO 1 MG X 30 COMP.,
FAZ DIV. DERMATOLOGÍA,SUTRICO TAR SHAMPOO X 100 ML,
FAZ DIV. DERMATOLOGÍA,TACNA 250 MG X 14 COMP.,
FAZ DIV. DERMATOLOGÍA,TACNA 250 MG X 28 COMP.,
FAZ DIV. DERMATOLOGÍA,TERSODERM CH CAB DELI 260 ML,
FAZ DIV. DERMATOLOGÍA,TERSODERM CH CAB GRASOS 260 ML,
FAZ DIV. DERMATOLOGÍA,TERSODERM RESTAU CAP 260 ML,
FAZ DIV. DERMATOLOGÍA,TRATACNE GEL X 15 G,
FAZ DIV. DERMATOLOGÍA,TRICOPLUS 5 LOC CAPILAR X 60 ML,
FAZ DIV. DERMATOLOGÍA,TRICOPLUS LOC CAPILAR X 60 ML,
FAZ DIV. DERMATOLOGÍA,UMBRELLA INTELLIGENT X 50 GR,
FAZ DIV. DERMATOLOGÍA,UMBRELLA PIEL SENSIBLE crema x 60 gr,
FAZ DIV. DERMATOLOGÍA,"VIROSUPRIL 3,75 % CREMA",
FAZ DIV. DERMATOLOGÍA,VIROSUPRIL CREMA X 5 GR,
FAZ DIV. DERMATOLOGÍA,VITIX GEL X 30 ML,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ALACIR 30 MG X 10 COMP. RECUB.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ALACIR 60 MG X 30 COMP. RECUB.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ANILAR 100 MG X 30 COMP. RECUB.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ANILAR 50 MG X 30 COMP. RECUB.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),APSICO 10 MG X 28 COMP.REC.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),"APSICO 2,5 MG X 28 COMP.REC.",
FB1 DIV. SNC (Sist.Nerv.Cent. ),APSICO 5 MG X 28 COMP.REC.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),"AROLTEX 0,25 MG COMP X 30",
FB1 DIV. SNC (Sist.Nerv.Cent. ),"AROLTEX 0,25 MG COMP X 60",
FB1 DIV. SNC (Sist.Nerv.Cent. ),AROLTEX 1 GR COMP x 30,
FB1 DIV. SNC (Sist.Nerv.Cent. ),AROLTEX 1 GR COMP x 60,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ATIPINA 100 MG X 30 COMP.REC.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ATIPINA 200 MG X 30 COMP.REC.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ATIPINA 25 MG X 30 COMP.REC.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),DORPLEN 3 MG COMP REC X 30,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ESCITEROKAM 10 MG X 30 COMP.REC.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ESCITEROKAM 20 MG X 30 COMP.REC.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),FENTINA 10 MG X 30 COMP.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),FORCILIN comp x 10,
FB1 DIV. SNC (Sist.Nerv.Cent. ),FORCILIN comp x 20,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ONEFIN 10 MG X 28 COMP.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),ONEFIN 5 MG X 28 COMP.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),PAMOXET 20 MG X 30 COMP.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),PAMOXET 40 MG X 30 COMP.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),PREBANAL 150 MG X 28 CAPS.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),PREBANAL 25 MG X 28 CAPS.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),PREBANAL 50 MG X 28 CAPS.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),PREBANAL 75 MG X 14 CAPS.,
FB1 DIV. SNC (Sist.Nerv.Cent. ),PREBANAL 75 MG X 28 CAPS.,
FDA DIV. OTC,AMINOTERAPIA ADVANCED COMP X 30,
FDA DIV. OTC,AMINOTERAPIA ADVANCED COMP X 60,
FDA DIV. OTC,AMINOTERAPIA ADVANCED SHAMPOO,
FDA DIV. OTC,FRAMINTROL ENERGY X 30 COMP,
FDA DIV. OTC,FRAMINTROL ENERGY X 60 COMP,
FDA DIV. OTC,FRAMINTROL X 30 COMP,
FDA DIV. OTC,FRAMINTROL X 60 COMP,
FDA DIV. OTC,RESVERATROL X 20 COMP,
FDA DIV. OTC,TANVIMIL ISOFLA CAL D3 X 30,
FDA DIV. OTC,TANVIMIL ISOFLA CREM X 50 ML,
FDA DIV. OTC,TANVIMIL ISOFLAVONAS COMP X 30,
FDA DIV. OTC,TANVIMIL ISOFLAVONAS COMP X 60,
FDA DIV. OTC,CIRUELAX JALEA x 300 G,
FDA DIV. OTC,CIRUELAX JALEA x 600 G,
FDA DIV. OTC,CIRUELAX FORTE x 24 comp,
FDA DIV. OTC,CIRUELAX MINITABS  x 20 COMP,
FDA DIV. OTC,CIRUELAX MINITABS x 60 COMP,
FDB DIV. GH,LAXIRUELA CIRUELA FIBRA X 300 G,
FDB DIV. GH,LAXIRUELA CIRUELA FIBRA X 600 G,
FDB DIV. GH,LAXIRUELA FORTE X 24 COMP,
FDB DIV. GH,LAXIRUELA MINITABS X 20 COMP,
FDB DIV. GH,LAXIRUELA MINITABS X 60 COMP 8,
FE  DIV.GENERAL,AFONISAN X 10 COMP.,
FE  DIV.GENERAL,AFONISAN X 20 COMP.,
FE  DIV.GENERAL,ANGINOTRAT X 10 COMP.,
FE  DIV.GENERAL,ANGINOTRAT X 20 COMP.,
FE  DIV.GENERAL,CALCITRIOL MEGALABS CAPS. X 30,
FE  DIV.GENERAL,CICATUL N.F. CREMA VAGINAL X 60 G,
FE  DIV.GENERAL,CICATUL N.F. OVULOS X 6,
FE  DIV.GENERAL,COLPOSAN comp vag x 7 (*),
FE  DIV.GENERAL,FACTOFER B12 COMP. REC. X 20,
FE  DIV.GENERAL,FACTOFER B12 COMP. REC. X 50,
FE  DIV.GENERAL,FACTOFER GTAS X 20 ML,
FE  DIV.GENERAL,HIERROQUICK 40 MG X 20 COMP.,
FE  DIV.GENERAL,HIERROQUICK 40 MG X 40 COMP.,
FE  DIV.GENERAL,HIERROQUICK 80 MG X 20 COMP.,
FE  DIV.GENERAL,HIERROQUICK 80 MG X 40 COMP.,
FE  DIV.GENERAL,HIFAMONIL CREMA X 20 G,
FE  DIV.GENERAL,HIFAMONIL POLVO X 100 G,
FE  DIV.GENERAL,HIFAMONIL SOBRES X 20,
FE  DIV.GENERAL,HIFAMONIL SOBRES X 8,
FE  DIV.GENERAL,HIPERMET 250 MG X 50 COMP,
FE  DIV.GENERAL,HIPERMET 500 MG X 40 COMP,
FE  DIV.GENERAL,HONGUIL CAPS GINECO X 1,
FE  DIV.GENERAL,HONGUIL PLUS CAPS X 1,
FE  DIV.GENERAL,HONGUIL PLUS CAPS X 2,
FE  DIV.GENERAL,HONGUIL PLUS CAPS X 4,
FE  DIV.GENERAL,HONGUIL PLUS CAPS X 8,
FE  DIV.GENERAL,LACTIBON OVULOS X 7,
FE  DIV.GENERAL,MAFEL 200  CAPS X 28,
FE  DIV.GENERAL,MAFEL 200  CAPS X 42,
FE  DIV.GENERAL,MAFEL 200 CAPS X 14,
FE  DIV.GENERAL,MAFEL CAPS X 30,
FE  DIV.GENERAL,PROMECLIM COMP VAGINALES X 10,
FE  DIV.GENERAL,PROMECLIM COMP VAGINALES X 20,
FE  DIV.GENERAL,SUMAL COMP.REC.X 10,
FE  DIV.GENERAL,SUMAL COMP.REC.X 20,
FE  DIV.GENERAL,TANDIUR COMP X 30,
FE  DIV.GENERAL,TANVIMIL A 100.000 UI CAPS X 30,
FE  DIV.GENERAL,TANVIMIL A 50000 UI CAPS X 30,
FE  DIV.GENERAL,TANVIMIL A 50000 UI CAPS X 60,
FE  DIV.GENERAL,TANVIMIL ACD FLUOR GTAS X 30 ML,
FE  DIV.GENERAL,TANVIMIL ACD GTAS X 20 ML,
FE  DIV.GENERAL,TANVIMIL AMINOACIDOS COMP X 30,
FE  DIV.GENERAL,TANVIMIL B1 B6 B12 X 30 COMP,
FE  DIV.GENERAL,TANVIMIL B6 COMP X 30,
FE  DIV.GENERAL,TANVIMIL B6 COMP X 60,
FE  DIV.GENERAL,TANVIMIL D GTAS X 10 ML,
FE  DIV.GENERAL,TANVIMIL E 1000 CAPS X 30,
FE  DIV.GENERAL,TANVIMIL E 1000 CAPS X 60,
FE  DIV.GENERAL,TANVIMIL E 200 CAPS X 30,
FE  DIV.GENERAL,TANVIMIL E 200 CAPS X 60,
FE  DIV.GENERAL,TANVIMIL E 200 CAPS X 90,
