niprod,cod_prod,des_prod,niprov,cod_prov,rsoc,cod_prodpr,cod_barrpr,fecvig,cost_usual,cost_ext,plazo_pago,pc_pv,prec_uc,prec_uc_ext,preferido
17536,47605,FADA MESNA 200 mg a.x 10,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,12/03/2024,0,0,0,0,"47687,14","47687,14",0
23432,23390,BOTOX 100 U vial x 1,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,01/06/2022,0,0,0,0,"14803,04","14803,04",0
23433,44664,BOTOX 200 U vial x 1,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,17/11/2022,0,0,0,0,"44165,71","44165,71",0
119430,53504,ENSURE vainilla pvo.x 400 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"3305,79","3305,79",0
119435,52033,ENSURE ADVANCE vainilla pvo.x 400 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,06/12/2021,0,0,0,0,"1101,637917","1101,637917",0
119436,51750,ENSURE ADVANCE vainilla pvo.x 850 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"6611,57","6611,57",0
119448,52726,FREEGO SET ENTERAL rosca bolsa x 1,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,27/10/2023,0,0,0,0,"2849,281","2849,281",0
119450,50514,GLUCERNA env.x 237 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"1074,38","1074,38",0
119451,54691,GLUCERNA POLVO lata x 850 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,14/04/2023,0,0,0,0,"6397,551667","6397,551667",0
119452,48238,GLUCERNA POLVO vainilla lata x 400 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,25/10/2023,0,0,0,0,"6860,9","6860,9",0
119453,23620,GLUCERNA RTH env.x 1000 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"2479,34","2479,34",0
119455,26487,JEVITY PLUS bot.x 1000 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"2644,63","2644,63",0
119456,13972,JEVITY RTH bot.x 1000 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"2314,05","2314,05",0
119458,50985,NEPRO AP env.x 237 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,18/12/2023,0,0,0,0,2072,2072,0
119459,16632,OSMOLITE HN RTH env.x 1000 ml,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,09/10/2023,0,0,0,0,"3776,8","3776,8",0
119464,46361,PEDIASURE vainilla lata x 400 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"3719,01","3719,01",0
119485,37388,CREON 25000 cáps.x 100,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,03/02/2023,0,0,0,0,"14660,89","14660,89",0
119504,4640,IRUXOL ung.x 30 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,14/06/2024,0,0,0,0,"11999,049","11999,049",0
121689,58190,ENSURE vainilla pvo.x 1200 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,22/12/2023,0,0,0,0,"9917,36","9917,36",0
121690,58189,ENSURE vainilla pvo.x 800 g,1,LAB0001,ABBOTT LABORATORIES ARGENTINA,,,10/11/2023,0,0,0,0,"9734,778","9734,778",0
