EAN,DESCRIPCIÓN,PRESENTACION,PVP,DROGUERIA,DTO.,CANT.X BULTO
7791939000089,"ASPIRINA 100
Estuche: 10 blisters x 10 comp. x 100 mg.",,"$4.904,38","$2.305,06",53%,50
7791939001116,CARDIO VENT3 30 comp masticables x 100 mg,,"$1,31",$393,70%,50
7791939000096,"CALCIO BASE
Estuche: 3 blisters x 20 comp. masticables x 1250 mg.",,"$12.995,10","$6.107,70",53%,90
7791939000133,"CARBON VEGETAL ACTIVADO
Estuche: 10 blisters x 10 comp. x 250 mg",,"$14.071,69","$6.613,69",53%,50
7791939001383,"CLONAZEPAM SL                                        Estuche: 5 blister x 10
comp.x 0.25 mg.",,"$ 6.208,60","$ 1.738,41",72%,40
7791939001390,"CLONAZEPAM                                            Estuche: 5 blister x 10
comp.x 0.5 mg.",,"$ 11.824,64","$ 3.310,90",72%,40
7791939001413,"CLONAZEPAM                                           Estuche: 5 blister x 10
comp.x 1 mg.",,"$ 11.326,00","$ 3.171,28",72%,40
7791939001437,"CLONAZEPAM                                           Estuche: 5 blister x 10
comp.x 2 mg.",,"$ 12.593,93","$ 3.526,30",72%,40
7791939000416,"IBUPROFENO 400
Estuche: 2 blisters x 10 comp. x 400 mg.",,"$3.100,34","$868,10",72%,50
7791939000522,"IBUPROFENO 600
Estuche: 2 blisters x 10 comp. x 600 mg.",,"$6.567,98","$1.839,03",72%,40
7791939000928,"IBUPROFENO Susp. 4%
Estuche: 1 frasco x 90 ml.",,"$7.217,56","$2.020,92",72%,12
7791939000218,"PARACETAMOL 500
Estuche: 2 blisters x 10 comp. x 500 mg.",,"$2.340,98","$655,47",72%,50
7791939000140,"PARACETAMOL GOTAS
Estuche: 1 gotero x 20 ml.",,"$4.007,09","$$1,121.99",72%,30
7791939000171,"SALES REHIDRATACION ORAL                  Estuche: 3
sobres x 27,9 grs.",,"$9.318,90","$4.379,88",53%,60
7791939000751,"SALES REHIDRATACION ORAL FRUTAL
Estuche: 3 sobres x 27,9 grs.",,"$16.094,72","$5.311,26",67%,60
7791939000911,"OMEPRAZOL VL
14 cápsulas x 20 mg.",,"$2,02",$606,70%,40
7791939000614,"ENALAPRIL
Estuche: 30 comp. x 10 mg.",,"$5.908,63","$1.654,42",72%,50
