N° CERTIF.,CODIGO,CODIGO DE BARRAS,PRINCIPIO  ACTIVO,DESCRIPCIÓN,PRESENTACION,PSL(s/IVA),PSL(c/IVA),PVP
47497,ARUCAG010A1,7798333230081,TIROFIBAN ,AGRASTAT,"0,25 mg/ml vial x 50 ml.", $  285.074 , $  344.939 , $  500.161 
56612,7059731,7795381000208,EPLERENONA,ALDACTONE EP ,25 mg x 30 comprimidos, $  15.143 , $  18.323 , $  26.569 
56612,7059733,7795381000215,EPLERENONA,ALDACTONE EP ,50 mg x 30 comprimidos, $  22.150 , $  26.801 , $  38.862 
27761,ARPEAD302N1,7798333230050,METILDOPA,ALDOMET,250 mg comp. rec. X 30, $  7.646 , $  9.251 , $  13.414 
27761,ARPEAD305J1,7798333230074,METILDOPA,ALDOMET,500 mg comp. rec. X 30, $  10.987 , $  13.294 , $  19.276 
39008,7059476,7795381012249,AMLODIPINA,AMLOC ,10 mg x 20 tabletas, $  12.374 , $  14.972 , $  21.709 
39008,7059767,7795381012331,AMLODIPINA,AMLOC ,10 mg x 30 tabletas, $  16.539 , $  20.013 , $  29.018 
39008,7059768,7795381012027,AMLODIPINA,AMLOC ,5 mg x 30 tabletas, $  9.505 , $  11.501 , $  16.677 
39008,7059478,7795381410953,AMLODIPINA,AMLOC  ,10 mg x 60 tabletas, $  28.035 , $  33.923 , $  49.188 
39008,7059481,7795381410946,AMLODIPINA,AMLOC  ,5 mg x 60 tabletas, $  15.857 , $  19.187 , $  27.821 
50432,ARNDAR010002A,6091403216857,FONDAPARINUX,ARIXTRA,"2,5mg/0,5ml - Jeringa prellenada x 10", $  134.702 , $  162.990 , $  236.335 
50432,ARNDAR002002A ,7502209852402,FONDAPARINUX,ARIXTRA,"2,5mg/0,6ml - Jeringa prellenada x 2", $  29.635 , $  35.858 , $  51.994 
50432,ARNDAR010007A,6091403216864,FONDAPARINUX,ARIXTRA,"7,5mg/0,5ml - Jeringa prellenada x 10", $  250.873 , $  303.556 , $  440.157 
50432,ARNDAR002007A,7502253073778,FONDAPARINUX,ARIXTRA,"7,5mg/0,6ml - Jeringa prellenada x 2", $  55.192 , $  66.782 , $  96.835 
38972,7059513,7795381410588,DOXAZOSIN,CARDURA,2 mg x 30 tabletas, $  17.685 , $  21.399 , $  31.028 
38972,7059514,7795381410595,DOXAZOSIN,CARDURA,4 mg x 30 tabletas, $  20.304 , $  24.567 , $  35.623 
47746,7059769,7791824116222,CELECOXIB,CELEBREX ,200 mg x 20 cáps., $  10.218 , $  12.364 , $  17.927 
26877,ARD3DE015C1,7798333230135,NANDROLONA,DECA DURABOLIN,50 mg iny x 1 amp x 1ml, $  18.664 , $  22.584 , $  32.746 
47023,7059524,7791824116772,TOLTERODINA,DETRUSITOL,2 mg x 28 tabletas, $  25.021 , $  30.275 , $  43.899 
47023,7059525,7791824116789,TOLTERODINA,DETRUSITOL ,2 mg x 56 tabletas, $  45.042 , $  54.501 , $  79.027 
44514,7059505,7795381001106,VENLAFAXINA,EFEXOR XR ,37.5 mg x 7 c., $  3.208 , $  3.882 , $  5.629 
44514,7059506,7795381001113,VENLAFAXINA,EFEXOR XR ,75.00 mg x 14 c., $  6.935 , $  8.392 , $  12.168 
44514,7059507,7795381001120,VENLAFAXINA,EFEXOR XR ,75.00 mg x 28 c., $  14.342 , $  17.354 , $  25.163 
44514,7059504,7795381001144,VENLAFAXINA,EFEXOR XR .,150-00 mg x 28 c., $  18.508 , $  22.394 , $  32.472 
32968,ARD1IM255B1,7798333230029,AZATIOPRINA,IMURAN,50 mg  x  25  comp., $  14.608 , $  17.676 , $  25.630 
32968,ARD1IM1A5B1,7798333230012,AZATIOPRINA,IMURAN,50 mg x 100  comp., $  44.838 , $  54.254 , $  78.668 
35557,ARD1LN254A1,7798333230357,TIOGUANINA,LANVIS ,40 mg comp x 25, $  285.039 , $  344.898 , $  500.102 
23526,ARD1LE252A1,7798333230036,CLORAMBUCILO,LEUKERAN,2 mg grageas x 25, $  98.764 , $  119.505 , $  173.282 
46141,7059675,7795381000291,ATORVASTATINA,LIPITOR ,10 mg x 30 comprimidos, $  18.164 , $  21.978 , $  31.869 
46141,7059676,7795381000345,ATORVASTATINA,LIPITOR ,10 mg x 60 comprimidos, $  29.157 , $  35.281 , $  51.157 
46141,7059677,7795381000307,ATORVASTATINA,LIPITOR ,20 mg x 30 comprimidos, $  29.305 , $  35.459 , $  51.415 
46141,7059678,7795381000352,ATORVASTATINA,LIPITOR ,20 mg x 60 comprimidos, $  51.217 , $  61.973 , $  89.861 
46141,7059679,7795381000314,ATORVASTATINA,LIPITOR ,40 mg x 30 comprimidos, $  33.128 , $  40.085 , $  58.124 
46141,7059680,7795381001571,ATORVASTATINA,LIPITOR ,80 mg x 30 comprimidos, $  43.678 , $  52.851 , $  76.634 
52012,7059498,7795381001014,PREGABALINA,LYRICA,150 mg  x 30 cápsulas, $  28.616 , $  34.625 , $  50.207 
52012,7059491,7795381000963,PREGABALINA,LYRICA,25 mg  x 30 cápsulas, $  6.391 , $  7.733 , $  11.212 
52012,7059500,7795381000970,PREGABALINA,LYRICA,25 mg  x 60 cápsulas, $  11.985 , $  14.502 , $  21.028 
52012,7059493,7795381001021,PREGABALINA,LYRICA,300 mg  x 30 cápsulas, $  35.706 , $  43.204 , $  62.646 
52012,7059494,7795381000956,PREGABALINA,LYRICA,50 mg  x 30 cápsulas, $  13.426 , $  16.246 , $  23.556 
52012,7059495,7795381000987,PREGABALINA,LYRICA,75 mg  x 15 cápsulas, $  9.389 , $  11.361 , $  16.473 
52012,7059501,7795381000994,PREGABALINA,LYRICA,75 mg  x 30 cápsulas, $  18.088 , $  21.886 , $  31.735 
52012,7059502,7795381001007,PREGABALINA,LYRICA,75 mg  x 60 cápsulas, $  33.739 , $  40.824 , $  59.195 
45562,ARS1NA051A1,7798333230470,ROPIVACAINA,NAROPIN,10 MG/ML 5 X 10 ML, $  68.445 , $  82.818 , $  120.087 
45562,ARS1NA051A2,7798333230487,ROPIVACAINA,NAROPIN,10 MG/ML 5 X 20 ML, $  57.898 , $  70.057 , $  101.582 
45562,ARS1NA057A1,7798333230463,ROPIVACAINA,NAROPIN,"7,5 MG/ML 5 X 20 ML", $  49.985 , $  60.482 , $  87.700 
43788,7059508,7795381001427,GABAPENTIN,NEURONTIN ,100 mg x 90 cápsulas, $  23.194 , $  28.064 , $  40.693 
43788,7059509,7795381410519,GABAPENTIN,NEURONTIN ,300 mg x 30 cápsulas, $  15.338 , $  18.559 , $  26.910 
43788,7059510,7795381410526,GABAPENTIN,NEURONTIN ,300 mg x 60 cápsulas, $  26.635 , $  32.228 , $  46.730 
