descripcion_proveedor,descripcion_match,similitud
3 tc  azt elea envase  60 comprimidos,rabloc 20 miligramos comprimidos  60,0.8447278
3 tc  azt elea envase  60 comprimidos,nefazan compuesto comprimidos  60 3030,0.84459144
3 tc  azt elea envase  60 comprimidos,mosar enzimatico comprimidos  60,0.84452397
abacavir elea envase  60 comprimidos recub,mosar enzimatico comprimidos  60,0.9328369
abacavir elea envase  60 comprimidos recub,neumoterol pediatrico capsulas  60 aplic,0.9292983
abacavir elea envase  60 comprimidos recub,mosar plus comprimidos  60,0.9262698
alcaf 60 miligramos f ampolla polvo  1,mosar 1% pvopsusporal  60 mililitros,0.93456024
alcaf 60 miligramos f ampolla polvo  1,kalter 40 miligramos comprimidos recubierto  60,0.8646508
alcaf 60 miligramos f ampolla polvo  1,mosar 25 miligramos comprimidos recubierto  60,0.86324567
benjor 50 miligramos  comprimidos  30,dafe  50 miligramos compdispers  30,0.9656509
benjor 50 miligramos  comprimidos  30,acotral 10 miligramos comprimidos  30,0.88473195
benjor 50 miligramos  comprimidos  30,normital 100 miligramos comprimidos  30,0.8823505
beva  100 miligramos envase  1 vial de 4 mililitros,misile 500 miligramos inyvial  1  100 mililitros,0.88031036
beva  100 miligramos envase  1 vial de 4 mililitros,emivo  4 miligramos a  1,0.85917956
beva  100 miligramos envase  1 vial de 4 mililitros,arixtra 5 miligramos 04 mililitros jeringa prellenada  1,0.8271644
beva  400 miligramos envase  1 vial de 16 mililitros,arixtra 5 miligramos 04 mililitros jeringa prellenada  1,0.82606554
beva  400 miligramos envase  1 vial de 16 mililitros,arixtra 25 miligramos 05 mililitros jeringa prellenada  1,0.82307553
beva  400 miligramos envase  1 vial de 16 mililitros,arixtra 75 miligramos 06 mililitros jeringa prellenada  1,0.82286733
biovac hb 10 microgramo inyectable frasco ampolla  05 mililitros,edictum 05 miligramos comprimidos  10,0.93509996
biovac hb 10 microgramo inyectable frasco ampolla  05 mililitros,causalon 150 miligramos sup  10  05 gramos,0.87882686
biovac hb 10 microgramo inyectable frasco ampolla  05 mililitros,doxtran 50 miligramos comprimidos recubierto  10,0.85993296
biovac hb 20 microgramo inyectable frasco ampolla  1 mililitros,doxolbran 1 miligramos comprimidos  20,0.9488021
biovac hb 20 microgramo inyectable frasco ampolla  1 mililitros,mosar 1% pvopsusporal  60 mililitros,0.86398417
biovac hb 20 microgramo inyectable frasco ampolla  1 mililitros,doxtran 50 miligramos comprimidos recubierto  20,0.8607068
brocabe 140 m   120 cpsulas,fingras 120 miligramos capsulas  60,0.8371869
brocabe 140 m   120 cpsulas,fingras 120 miligramos capsulas  84,0.83632404
brocabe 140 m   120 cpsulas,fingras 120 miligramos capsulas  30,0.83450246
brocabe 140 m   90 cpsulas,causalon ibu susporal  90 mililitros,0.808391
brocabe 140 m   90 cpsulas,fenisona 50 microgramo spray nas  140 dosis,0.7928903
brocabe 140 m   90 cpsulas,fenisona 50 microgramo spray  140 dosis,0.7904151
brocabe brocabe 140 miligramos comprimidos  30,olane xr 375 miligramos comprimidos  30,0.8763575
brocabe brocabe 140 miligramos comprimidos  30,rabloc 5 miligramos comprimidos  30,0.87627834
brocabe brocabe 140 miligramos comprimidos  30,acotral 10 miligramos comprimidos  30,0.8761412
brocabe brocabe 280 miligramos comprimidos  30,acotral 10 miligramos comprimidos  30,0.8773225
brocabe brocabe 280 miligramos comprimidos  30,olane xr 375 miligramos comprimidos  30,0.8773134
brocabe brocabe 280 miligramos comprimidos  30,rabloc 5 miligramos comprimidos  30,0.8761448
brocabe brocabe 420 miligramos comprimidos  30,olane xr 375 miligramos comprimidos  30,0.87710613
brocabe brocabe 420 miligramos comprimidos  30,acotral 10 miligramos comprimidos  30,0.87639064
brocabe brocabe 420 miligramos comprimidos  30,rabloc 5 miligramos comprimidos  30,0.87603176
brocabe brocabe 560 miligramos comprimidos  30,olane xr 375 miligramos comprimidos  30,0.8772036
brocabe brocabe 560 miligramos comprimidos  30,acotral 10 miligramos comprimidos  30,0.87713987
brocabe brocabe 560 miligramos comprimidos  30,rabloc 5 miligramos comprimidos  30,0.8756907
catiz catiz 150 miligramos comprimidos  60,idesole ii 45 miligramos comprimidos  60,0.87638515
catiz catiz 150 miligramos comprimidos  60,mezine xr 150 miligramos comprimidos  14,0.8720211
catiz catiz 150 miligramos comprimidos  60,mezine xr 150 miligramos comprimidos  28,0.87117684
catiz catiz 150 miligramos comprimidos  120,mezine xr 150 miligramos comprimidos  14,0.87088215
catiz catiz 150 miligramos comprimidos  120,mezine xr 150 miligramos comprimidos  28,0.86978203
catiz catiz 150 miligramos comprimidos  120,tanakan 120 miligramos comprimidos  20,0.86075455
catiz catiz 50 miligramos comprimidos  60,idesole ii 45 miligramos comprimidos  60,0.8768321
catiz catiz 50 miligramos comprimidos  60,kalter 40 miligramos comprimidos recubierto  60,0.8695577
catiz catiz 50 miligramos comprimidos  60,idesole 30 miligramos comprimidos recubierto  60,0.8678816
cimaher solucion inyeccion envase  4 fcos ampolla de 50 miligramos cu,mosar 5 miligramos comprimidos recubierto  4,0.85922456
cimaher solucion inyeccion envase  4 fcos ampolla de 50 miligramos cu,teosona 200 miligramos dividosis comprimidos  50,0.85229135
cimaher solucion inyeccion envase  4 fcos ampolla de 50 miligramos cu,teosona 300 miligramos dividosis comprimidos  50,0.8503971
clonomab 70 miligramos por mililitro,cefuro  250 miligramos susporal  70 mililitros,0.863185
clonomab 70 miligramos por mililitro,pervino  jabliq  200 mililitros,0.7625486
clonomab 70 miligramos por mililitro,pervino  jabliq  100 mililitros,0.76114035
damaris comprimidos rec  30,cvp cellulite comprimidos  30,0.96168447
damaris comprimidos rec  30,flebitol comprimidos  30,0.9578115
damaris comprimidos rec  30,plenovit melatonina comprimidos  30,0.9397191
dafe  liof 440 miligramos 50 mililitros,dafe  50 miligramos compdispers  30,0.8662625
dafe  liof 440 miligramos 50 mililitros,dexa aminofilin 300 miligramos comprimidos  50,0.85245097
dafe  liof 440 miligramos 50 mililitros,doxtran 50 miligramos comprimidos recubierto  20,0.84576505
drivelea 30 comprimidos,akatinol comprimidos  30,0.93371475
drivelea 30 comprimidos,plenovit magnesioc comprimidos  30,0.92804945
drivelea 30 comprimidos,plenovit magnesioe comprimidos  30,0.9263662
