descripcion_proveedor,descripcion_match,similitud
humira ac x 2 20 miligramos 2 jeringas prell x 02 mililitros,humira ac x 2 20 miligramos 20 miligramos 02 mililitros jerprell x 2,0.8859602
humira ac x 2 20 miligramos 2 jeringas prell x 02 mililitros,humira jeringa prell x 2 x 08 mililitros,0.82281125
humira ac x 2 20 miligramos 2 jeringas prell x 02 mililitros,humira pediatrico vial x 2 x 08 mililitros,0.8059607
humira ac x 2 40 miligramos 2 lapiceras prell x 04 mililitros,humira ac x 2 40 miligramos 40 miligramos 04 mililitros lapprell x 2 caja x 2 lapprell  um caja,0.86104864
humira ac x 2 40 miligramos 2 lapiceras prell x 04 mililitros,humira pen lapicera x 2 x 08 mililitros,0.8159867
humira ac x 2 40 miligramos 2 lapiceras prell x 04 mililitros,humira jeringa prell x 2 x 08 mililitros,0.81455654
humira ac x 1 80 miligramos 1 lapicera prell x 08 mililitros,humira ac x 1 80 miligramos 80 miligramos 08 mililitros lapprell x 1,0.88240725
humira ac x 1 80 miligramos 1 lapicera prell x 08 mililitros,humira jeringa prell x 2 x 08 mililitros,0.8161068
humira ac x 1 80 miligramos 1 lapicera prell x 08 mililitros,humira pen lapicera x 2 x 08 mililitros,0.8137245
rinvoq 15 miligramos 15 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 15 miligramos complibprol x 30,0.8737766
rinvoq 15 miligramos 15 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 30 miligramos complibprol x 30,0.8070189
rinvoq 15 miligramos 15 miligramos x 30 comprimidos rec de lib prolongada,zemplar 2 microgramo capsulas x 30,0.7766342
rinvoq 30 miligramos 30 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 30 miligramos complibprol x 30,0.8096874
rinvoq 30 miligramos 30 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 15 miligramos complibprol x 30,0.8039115
rinvoq 30 miligramos 30 miligramos x 30 comprimidos rec de lib prolongada,zemplar 2 microgramo capsulas x 30,0.7782903
rinvoq 45 miligramos 45 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 30 miligramos complibprol x 30,0.8064005
rinvoq 45 miligramos 45 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 15 miligramos complibprol x 30,0.80446005
rinvoq 45 miligramos 45 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 45 miligramos complibprol x 28,0.80362445
skyrizi 150 miligramos 1 lapicera prellenada por 1 mililitros 150 miligramos,skyrizi 150 miligramos lapprell x 1,0.83353895
skyrizi 150 miligramos 1 lapicera prellenada por 1 mililitros 150 miligramos,epkinly 60 miligramos por mililitro solucion inyeccion x 1,0.7861909
