descripcion_proveedor,descripcion_match,similitud
humira ac x 2 20 miligramos 2 jeringas prell x 02 mililitros,humira ac x 2 20 miligramos 20 miligramos 02 mililitros jerprell x 2,0.9143974
humira ac x 2 20 miligramos 2 jeringas prell x 02 mililitros,humira pen lapicera x 2 x 08 mililitros,0.84118867
humira ac x 2 20 miligramos 2 jeringas prell x 02 mililitros,skyrizi 75 miligramos jeringa prell x 2,0.8395859
humira ac x 2 40 miligramos 2 lapiceras prell x 04 mililitros,humira ac x 2 40 miligramos 40 miligramos 04 mililitros lapprell x 2 caja x 2 lapprell  um caja,0.89260083
humira ac x 2 40 miligramos 2 lapiceras prell x 04 mililitros,humira pen lapicera x 2 x 08 mililitros,0.8422442
humira ac x 2 40 miligramos 2 lapiceras prell x 04 mililitros,humira pediatrico vial x 2 x 08 mililitros,0.83725524
humira ac x 1 80 miligramos 1 lapicera prell x 08 mililitros,humira ac x 1 80 miligramos 80 miligramos 08 mililitros lapprell x 1,0.9146815
humira ac x 1 80 miligramos 1 lapicera prell x 08 mililitros,humira pen lapicera x 2 x 08 mililitros,0.84244025
humira ac x 1 80 miligramos 1 lapicera prell x 08 mililitros,epkinly 60 miligramos por mililitro solucion inyeccion x 1,0.8400207
rinvoq 15 miligramos 15 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 15 miligramos complibprol x 30,0.9067088
rinvoq 15 miligramos 15 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 30 miligramos complibprol x 30,0.84042144
rinvoq 15 miligramos 15 miligramos x 30 comprimidos rec de lib prolongada,ritonavir comprimidos recubierto x 30,0.8357802
rinvoq 30 miligramos 30 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 30 miligramos complibprol x 30,0.8428652
rinvoq 30 miligramos 30 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 15 miligramos complibprol x 30,0.8413873
rinvoq 30 miligramos 30 miligramos x 30 comprimidos rec de lib prolongada,ritonavir comprimidos recubierto x 30,0.83697987
rinvoq 45 miligramos 45 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 45 miligramos complibprol x 28,0.84413147
rinvoq 45 miligramos 45 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 30 miligramos complibprol x 30,0.84062725
rinvoq 45 miligramos 45 miligramos x 30 comprimidos rec de lib prolongada,rinvoq 15 miligramos complibprol x 30,0.83992034
skyrizi 150 miligramos 1 lapicera prellenada por 1 mililitros 150 miligramos,skyrizi 150 miligramos lapprell x 1,0.8895295
skyrizi 150 miligramos 1 lapicera prellenada por 1 mililitros 150 miligramos,epkinly 60 miligramos por mililitro solucion inyeccion x 1,0.83761024
skyrizi 150 miligramos 1 lapicera prellenada por 1 mililitros 150 miligramos,skyrizi 360 miligramos cart x 1 inyeccion,0.837529
skyrizi 360 miligramos 24 mililitros obi ar fp,skyrizi 360 miligramos cart x 1 inyeccion,0.8896733
skyrizi 360 miligramos 24 mililitros obi ar fp,skyrizi 150 miligramos lapprell x 1,0.78861684
skyrizi 360 miligramos 24 mililitros obi ar fp,epkinly 60 miligramos por mililitro solucion inyeccion x 1,0.7876656
skyrizi 600 miligramos 100 mililitros vial ar fp,skyrizi 600 miligramos vial x 1,0.89305896
skyrizi 600 miligramos 100 mililitros vial ar fp,venclexta 100 miligramos comprimidos x 120,0.88730675
skyrizi 600 miligramos 100 mililitros vial ar fp,synagis solucian 100 miligramos frasco ampolla x 1,0.8805729
maviret 100 miligramos 40 miligramos x 84 comprimidos rec,venclexta 100 miligramos comprimidos x 120,0.8470494
maviret 100 miligramos 40 miligramos x 84 comprimidos rec,synagis 100 miligramos lioffa x 1,0.84337866
maviret 100 miligramos 40 miligramos x 84 comprimidos rec,synagis solucian 100 miligramos frasco ampolla x 1,0.84033936
venclexta kit inicio kit de inicio x 1 pack 4 x 7 dias,venclexta kit de inicio x 1,0.85621226
venclexta kit inicio kit de inicio x 1 pack 4 x 7 dias,venclexta 50 miligramos comprimidos x 7,0.8536508
venclexta kit inicio kit de inicio x 1 pack 4 x 7 dias,survanta frasco ampolla x 4 mililitros,0.8530884
venclexta 100 miligramos 100 miligramos x 120 comprimidos,venclexta 100 miligramos comprimidos x 120,0.9186817
venclexta 100 miligramos 100 miligramos x 120 comprimidos,synagis 100 miligramos lioffa x 1,0.8419839
venclexta 100 miligramos 100 miligramos x 120 comprimidos,synagis solucian 100 miligramos frasco ampolla x 1,0.84025985
venclexta 10 miligramos 10 miligramos wallet two 10 miligramos tabs x 14,venclexta 10 miligramos comprimidos x 14,0.8878873
venclexta 10 miligramos 10 miligramos wallet two 10 miligramos tabs x 14,humira ac x 2 20 miligramos 20 miligramos 02 mililitros jerprell x 2,0.7906094
venclexta 10 miligramos 10 miligramos wallet two 10 miligramos tabs x 14,humira ac x 1 80 miligramos 80 miligramos 08 mililitros lapprell x 1,0.7898993
venclexta 50 miligramos 50 miligramos wallet one 50 miligramos tableta x 7,venclexta 50 miligramos comprimidos x 7,0.88765424
venclexta 50 miligramos 50 miligramos wallet one 50 miligramos tableta x 7,synagis 50 miligramos frasco ampolla x 1,0.8259283
venclexta 50 miligramos 50 miligramos wallet one 50 miligramos tableta x 7,sevorane envase x 50 mililitros,0.82422507
sevorane 250 mililitros,sevorane envase x 250 mililitros,0.9897669
sevorane 250 mililitros,sevorane quick fill envase x 250 mililitros caja x 1 frasco x 250 mililitros  um frasco,0.83464515
sevorane 250 mililitros,sevorane envase x 50 mililitros,0.78686357
sevorane quick fill 250 mililitros,sevorane envase x 250 mililitros,0.99172264
sevorane quick fill 250 mililitros,sevorane quick fill envase x 250 mililitros caja x 1 frasco x 250 mililitros  um frasco,0.84442097
sevorane quick fill 250 mililitros,sevorane envase x 50 mililitros,0.7891383
zemplar vial 5 viales,epkinly 5 miligramos por mililitro solucion inyeccion x 1,0.8603111
zemplar vial 5 viales,simda x 25 miligramos por mililitro inyeccion frasco ampolla x 5 mililitros,0.858874
zemplar vial 5 viales,zemplar 5 microgramo vial x 5 x 1 mililitros,0.84671634
zemplar 2 microgramo 30 capsulas,zemplar 2 microgramo capsulas x 30,0.9966929
